 Off Market Transaction 

MEMBER , TO , MEMBER 

Date ,SETTLEMENT DATE ,MEMBER CODE,SYMBOL CODE,COMPANY ,TURNOVER ,RATE ,VALUES 

16-Sep-25,18-Sep-25,(+) 022 (-) 194,MDTL,Media Times Ltd,2000000,5.02,10040000
16-Sep-25,17-Sep-25,(+) 248 (-) 016,LUCK,Lucky Cement,6500,480.00,3120000
16-Sep-25,17-Sep-25,(+) 525 (-) 145,FFL,Fauji Foods Ltd,500,19.80,9900
16-Sep-25,17-Sep-25,(+) 525 (-) 145,KOSM,Kohinoor Spining,2500,7.13,17825
16-Sep-25,17-Sep-25,(+) 525 (-) 145,POWER,Power Cement,2500,19.00,47500
16-Sep-25,17-Sep-25,(+) 525 (-) 145,TPLP,TPL Properties,5000,11.00,55000

CROSS ,TRANSACTIONS, BETWEEN, CLIENT TO ,CLIENT & FINANCIAL, INSTITUTIONS 

Date ,SETTLEMENT DATE ,MEMBER CODE,SYMBOL CODE,COMPANY ,TURNOVER ,RATE ,VALUES 

16-Sep-25,16-Sep-25,018,IMAGE,Image Pakistan,1855,28.70,53238
16-Sep-25,18-Sep-25,024,THCCL,Thatta Cement,100000,46.06,4606000
16-Sep-25,18-Sep-25,024,FNEL,F. Nat.Equities,1000000,8.80,8800000
16-Sep-25,18-Sep-25,024,THCCL,Thatta Cement,100000,46.06,4606000
16-Sep-25,17-Sep-25,024,TRG,TRG Pak Ltd,400000,58.40,23360000
16-Sep-25,17-Sep-25,036,TRG,TRG Pak Ltd,2000,68.24,136480
16-Sep-25,17-Sep-25,037,EPCL,Engro Polymer,1000,31.77,31770
16-Sep-25,16-Sep-25,048,RMPL,Rafhan Maize,85,9599.00,815915
16-Sep-25,17-Sep-25,084,PPL,Pak Petroleum,5000,190.20,951000
16-Sep-25,18-Sep-25,084,NBP,National BankXD,10560,183.70,1939872
16-Sep-25,17-Sep-25,084,NBP,National BankXD,10560,184.50,1948320
16-Sep-25,17-Sep-25,084,SAZEW,Sazgar Engineering,2000,1704.65,3409300
16-Sep-25,17-Sep-25,084,LUCK,Lucky Cement,5000,478.47,2392350
16-Sep-25,16-Sep-25,117,MARI,Mari Energies Ltd.,329,682.00,224378
16-Sep-25,19-Sep-25,124,ATRL,Attock Refinery,100000,679.87,67987000
16-Sep-25,19-Sep-25,124,SEARL,The Searle Company,250000,120.98,30245000
16-Sep-25,17-Sep-25,162,PSX,Pak Stock Exchange,5000,37.91,189550
16-Sep-25,16-Sep-25,193,HTL,HI-Tech Lub.,500,50.40,25200
16-Sep-25,18-Sep-25,194,NICL,Nimir Ind.Chem,4999,177.00,884823
16-Sep-25,16-Sep-25,194,CHBL,Chenab Limited,500,24.20,12100
16-Sep-25,16-Sep-25,194,ASL,Aisha Steel Mill,500,14.80,7400
16-Sep-25,16-Sep-25,194,MARI,Mari Energies Ltd.,500,683.00,341500
16-Sep-25,18-Sep-25,194,TRG,TRG Pak Ltd,16000,75.06,1200960
16-Sep-25,18-Sep-25,194,TRG,TRG Pak Ltd,10000,76.56,765600
16-Sep-25,17-Sep-25,529,TRG,TRG Pak Ltd,3000,67.70,203100
16-Sep-25,17-Sep-25,529,HUMNL,Hum Network,500,17.20,8600
