 Off Market Transaction 

MEMBER , TO , MEMBER 

Date ,SETTLEMENT DATE ,MEMBER CODE,SYMBOL CODE,COMPANY ,TURNOVER ,RATE ,VALUES 

19-Sep-25,23-Sep-25,(+) 054 (-) 188,PACE,Pace (Pak) Ltd.,50000,12.70,635000
19-Sep-25,22-Sep-25,(+) 088 (-) 194,CSIL,Cres.Star Ins.,5477570,6.90,37795233
19-Sep-25,23-Sep-25,(+) 124 (-) 022,TPLI,TPL Insurance,150000,21.00,3150000
19-Sep-25,22-Sep-25,(+) 166 (-) 019,FCCL,Fauji Cement,5000000,58.89,294450000
19-Sep-25,22-Sep-25,(+) 166 (-) 019,FCCL,Fauji Cement,5000000,59.00,295000000
19-Sep-25,23-Sep-25,(+) 166 (-) 024,SKRS,Sakrand Sugar,500000,19.00,9500000
19-Sep-25,23-Sep-25,(+) 194 (-) 084,BECO,Beco Steel Ltd,250000,28.92,7230000
19-Sep-25,22-Sep-25,(+) 194 (-) 088,BECO,Beco Steel Ltd,100000,28.92,2892000
19-Sep-25,22-Sep-25,(+) 992 (-) 024,BFAGRO,Barkat Frisian Agro,73500,48.00,3528000

CROSS ,TRANSACTIONS, BETWEEN, CLIENT TO ,CLIENT & FINANCIAL, INSTITUTIONS 

Date ,SETTLEMENT DATE ,MEMBER CODE,SYMBOL CODE,COMPANY ,TURNOVER ,RATE ,VALUES 

19-Sep-25,23-Sep-25,006,FCEPL,Frieslandcampina,25000,93.00,2325000
19-Sep-25,22-Sep-25,016,TOMCL,The Organic Meat,10000,57.00,570000
19-Sep-25,19-Sep-25,021,BECO,Beco Steel Ltd,5000,26.29,131450
19-Sep-25,23-Sep-25,027,REWM,Reliance Weaving,2720000,105.00,285600000
19-Sep-25,19-Sep-25,046,BIPL,Bankislami Pak,50000,35.91,1795500
19-Sep-25,24-Nov-25,049,WAVES,Waves Corp Ltd.,1100000,13.39,14729000
19-Sep-25,22-Sep-25,049,WAVES,Waves Corp Ltd.,1100000,13.00,14300000
19-Sep-25,22-Sep-25,050,AHCL,Arif Habib Corp,50000,14.44,722000
19-Sep-25,19-Sep-25,084,SNGP,Sui North Gas,1500,137.02,205530
19-Sep-25,19-Sep-25,084,BFAGRO,Barkat Frisian Agro,2200,44.55,98010
19-Sep-25,23-Sep-25,084,PAEL,Pak Elektron,2000,55.75,111500
19-Sep-25,23-Sep-25,084,HUBC,Hub Power Co.,18908,197.45,3733385
19-Sep-25,19-Sep-25,084,MACTER,Macter Int. Ltd,500,430.79,215395
19-Sep-25,19-Sep-25,084,MARI,Mari Energies Ltd.XD,750,693.94,520455
19-Sep-25,19-Sep-25,084,FFL,Fauji Foods Ltd,10000,18.79,187900
19-Sep-25,19-Sep-25,084,GWLC,Gharibwal Cement,7000,55.70,389900
19-Sep-25,19-Sep-25,084,GGL,Ghani Glo Hol,10000,28.25,282500
19-Sep-25,19-Sep-25,107,ATRL,Attock Refinery,100,673.50,67350
19-Sep-25,23-Sep-25,142,THCCL,Thatta Cement,51,48.80,2489
19-Sep-25,23-Sep-25,142,AVN,Avanceon Ltd,47,52.92,2487
19-Sep-25,19-Sep-25,149,FCSC,Ist.Capital Sec,10,4.65,46
19-Sep-25,19-Sep-25,149,FCSC,Ist.Capital Sec,10,4.65,46
19-Sep-25,22-Sep-25,159,FCCL,Fauji Cement,2000,60.00,120000
19-Sep-25,22-Sep-25,159,FCCL,Fauji Cement,10000,60.00,600000
19-Sep-25,22-Sep-25,173,SEPL,Security PaperXD,1758,212.01,372714
19-Sep-25,23-Sep-25,188,ALAC,Askari Life Ass,4000,16.70,66800
19-Sep-25,23-Sep-25,188,PACE,Pace (Pak) Ltd.,300000,12.70,3810000
19-Sep-25,23-Sep-25,188,YOUW,Yousuf Weaving,10000,6.55,65500
19-Sep-25,23-Sep-25,188,PACE,Pace (Pak) Ltd.,100000,12.70,1270000
19-Sep-25,19-Sep-25,193,POWER,Power Cement,2600,18.95,49270
19-Sep-25,19-Sep-25,193,TPL,TPL Corp Ltd,3500,9.30,32550
19-Sep-25,22-Sep-25,194,FCCL,Fauji Cement,110000,59.70,6567000
19-Sep-25,23-Sep-25,194,BECO,Beco Steel Ltd,200000,28.92,5784000
19-Sep-25,23-Sep-25,194,PREMA,At-Tahur Ltd.,99979,48.13,4811989
19-Sep-25,23-Sep-25,194,TOMCL,The Organic Meat,500,67.01,33505
19-Sep-25,19-Sep-25,526,MARI,Mari Energies Ltd.XD,5000,673.95,3369750
19-Sep-25,22-Sep-25,529,HUBC,Hub Power Co.,1000,204.10,204100
19-Sep-25,22-Sep-25,529,HUMNL,Hum Network,500,16.80,8400
19-Sep-25,22-Sep-25,529,POWER,Power Cement,3500,18.70,65450
19-Sep-25,22-Sep-25,529,SNGP,Sui North Gas,500,134.50,67250
19-Sep-25,22-Sep-25,529,FCEPL,Frieslandcampina,500,94.20,47100
19-Sep-25,22-Sep-25,984,BOP,B.O.PunjabXD,200000,26.00,5200000
