"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"SFL","SAPPHIRE FIBRES LIMITED","3,289.00"," 3,828,434.23 ","2,000.00"," 2,337,500.82 ","60.81 ","61.06 "
"SGF","SERVICE GLOBAL FOOTWEAR LIMITED","26,013.00"," 2,044,616.96 ","14,788.00"," 1,158,719.23 ","56.85 ","56.67 "
"SGPL","S.G. POWER LIMITED","105,906.00"," 837,441.33 ","88,848.00"," 705,079.33 ","83.89 ","84.19 "
"SHCM","SHADMAN COTTON MILLS LIMITED","16,952.00"," 954,375.32 ","14,749.00"," 832,381.28 ","87.00 ","87.22 "
"SHDT","SHADAB TEXTILE MILLS LIMITED","286,657.00"," 20,557,012.00 ","257,073.00"," 18,435,963.91 ","89.68 ","89.68 "
"SHEZ","SHEZAN INTERNATIONAL LIMITED","20,579.00"," 4,323,708.56 ","13,816.00"," 2,903,483.56 ","67.14 ","67.15 "
"SHFA","SHIFA INTERNATIONAL HOSPITALS LTD.","34,033.00"," 19,530,457.23 ","20,126.00"," 11,545,995.50 ","59.14 ","59.12 "
"SHJS","SHAHTAJ SUGAR MILLS LIMITED","1,001.00"," 141,485.97 ","1,001.00"," 141,485.97 ","100.00 ","100.00 "
"SHNI","SHAHEEN INSURANCE COMPANY LIMITED","870,475.00"," 9,194,221.56 ","537,462.00"," 5,690,993.76 ","61.74 ","61.90 "
"SHSML","SHAHMURAD SUGAR MILLS LIMITED","5,813.00"," 2,206,928.71 ","3,376.00"," 1,302,907.70 ","58.08 ","59.04 "
"SIBL","SECURITY INVESTMENT BANK LIMITED","185,501.00"," 2,221,499.32 ","185,348.00"," 2,219,689.52 ","99.92 ","99.92 "
"SINDM","SINDH MODARABA","10,699.00"," 138,938.86 ","10,683.00"," 138,732.60 ","99.85 ","99.85 "
"SITC","SITARA CHEMICAL INDUSTRIES LIMITED","4,939.00"," 2,393,687.63 ","4,932.00"," 2,390,257.77 ","99.86 ","99.86 "
"SKRS","SAKRAND SUGAR MILLS LIMITED","258,684.00"," 2,870,107.95 ","231,070.00"," 2,560,167.15 ","89.33 ","89.20 "
"SLGL","SECURE LOGISTICS GROUP LIMITED","16,425,892.00"," 294,255,598.72 ","8,700,881.00"," 156,533,793.16 ","52.97 ","53.20 "
"SLYT","SALLY TEXTILE MILLS LIMITED","44,044.00"," 511,111.65 ","20,938.00"," 249,521.15 ","47.54 ","48.82 "
"SMCPL","SAFE MIX CONCRETE LIMITED","48,388.00"," 1,065,598.04 ","44,370.00"," 976,498.44 ","91.70 ","91.64 "
"SML","SHAKARGANJ LIMITED","602.00"," 40,619.60 ","602.00"," 40,619.60 ","100.00 ","100.00 "
"SNAI","SANA INDUSTRIES LIMITED","202,247.00"," 5,666,212.78 ","172,317.00"," 4,836,146.57 ","85.20 ","85.35 "
"SNBL","SONERI BANK LIMITED","2,376,162.00"," 52,955,478.42 ","1,506,596.00"," 33,611,805.91 ","63.40 ","63.47 "
"SNGP","SUI NORTHERN GAS PIPELINES LIMITED","928,220.00"," 109,800,180.07 ","746,443.00"," 89,138,720.64 ","80.42 ","81.18 "
"SPEL","SPEL LIMITED","5,001,130.00"," 247,129,652.76 ","3,259,905.00"," 161,905,554.40 ","65.18 ","65.51 "
"SPL","SITARA PEROXIDE LIMITED","8,002.00"," 121,535.00 ","7,061.00"," 107,311.21 ","88.24 ","88.30 "
"SPWL","SAIF POWER LIMITED","970,739.00"," 12,026,836.35 ","766,852.00"," 9,523,922.06 ","79.00 ","79.19 "
"SRVI","SERVICE INDUSTRIES LIMITED","18,541.00"," 24,328,188.22 ","17,811.00"," 23,378,478.69 ","96.06 ","96.10 "
"SSGC","SUI SOUTHERN GAS COMPANY LIMITED","8,368,789.00"," 379,717,736.52 ","5,056,270.00"," 229,562,444.37 ","60.42 ","60.46 "
"SSML","SARITOW SPINNING MILLS LIMITED","45,335.00"," 739,719.26 ","29,729.00"," 489,738.02 ","65.58 ","66.21 "
"SSOM","S. S. OIL MILLS LIMITED","6,437.00"," 5,361,704.61 ","3,920.00"," 3,275,763.14 ","60.90 ","61.10 "
"STCL","SHABBIR TILES AND CERAMICS LIMITED","182,475.00"," 2,840,272.79 ","144,713.00"," 2,245,869.03 ","79.31 ","79.07 "
"STJT","SHAHTAJ TEXTILE LIMITED","48.00"," 4,227.52 ","48.00"," 4,227.52 ","100.00 ","100.00 "
"STL","SUPERNET TECHNOLOGIES LIMITED","882.00"," 751,766.83 ","847.00"," 722,326.99 ","96.03 ","96.08 "
"STML","SHAMS TEXTILE MILLS LIMITED","14,677.00"," 572,701.74 ","13,376.00"," 521,688.24 ","91.14 ","91.09 "
"STPL","SIDDIQSONS TIN PLATE LIMITED","2,804,326.00"," 19,493,562.90 ","2,088,335.00"," 14,520,898.39 ","74.47 ","74.49 "
"STYLERS","STYLERS INTERNATIONAL LIMITED","14,971.00"," 625,552.94 ","10,874.00"," 455,431.99 ","72.63 ","72.80 "
"SUHJ","SUHAIL JUTE MILLS LIMITED","1,472.00"," 160,942.78 ","1,470.00"," 160,752.78 ","99.86 ","99.88 "
"SURC","SURAJ COTTON MILLS LIMITED","159,212.00"," 23,346,847.68 ","154,212.00"," 22,613,647.68 ","96.86 ","96.86 "
"SUTM","SUNRAYS TEXTILE MILLS LIMITED","89,219.00"," 18,886,146.58 ","74,794.00"," 15,877,822.10 ","83.83 ","84.07 "
"SYM","SYMMETRY GROUP LIMITED","1,881,541.00"," 28,205,725.06 ","1,640,294.00"," 24,618,436.72 ","87.18 ","87.28 "
"SYS","SYSTEMS LIMITED","845,376.00"," 99,916,835.46 ","763,323.00"," 90,236,811.82 ","90.29 ","90.31 "
"SZTM","SHAHZAD TEXTILE MILLS LIMITED","33,668.00"," 2,570,794.41 ","24,920.00"," 1,926,462.65 ","74.02 ","74.94 "
"TATM","TATA TEXTILE MILLS LIMITED","1,017,147.00"," 222,574,117.44 ","451,219.00"," 99,426,877.21 ","44.36 ","44.67 "
"TBL","TREET BATTERY LIMITED","6,451,639.00"," 86,465,429.21 ","4,337,212.00"," 58,211,758.01 ","67.23 ","67.32 "
"TCORP","TARIQ CORPORATION LIMITED","266,640.00"," 4,508,667.94 ","171,275.00"," 2,910,125.80 ","64.23 ","64.55 "
"TELE","TELECARD LIMITED","4,056,044.00"," 32,827,307.59 ","2,754,983.00"," 22,650,103.97 ","67.92 ","69.00 "
"TGL","TARIQ GLASS INDUSTRIES LTD.","46,595.00"," 10,913,572.79 ","44,755.00"," 10,482,949.62 ","96.05 ","96.05 "
"THALL","THAL LIMITED","16,723.00"," 6,819,000.21 ","16,457.00"," 6,710,912.63 ","98.41 ","98.41 "
"THCCL","THATTA CEMENT COMPANY LIMITED","459,858.00"," 88,881,345.36 ","380,790.00"," 73,571,767.81 ","82.81 ","82.78 "
"TICL","THE THAL INDUSTRIES CORPORATION LIMITED","857.00"," 337,713.68 ","654.00"," 259,369.67 ","76.31 ","76.80 "
"TOMCL","THE ORGANIC MEAT COMPANY LIMITED","4,080,600.00"," 142,911,249.99 ","2,257,747.00"," 79,258,519.10 ","55.33 ","55.46 "
"TOWL","TOWELLERS LIMITED","356,522.00"," 65,020,687.96 ","211,410.00"," 38,742,189.55 ","59.30 ","59.58 "
"TPL","TPL CORP LIMITED","17,823,778.00"," 101,368,097.09 ","17,225,248.00"," 97,953,241.08 ","96.64 ","96.63 "
"TPLI","TPL INSURANCE LIMITED","1,336,181.00"," 11,189,172.62 ","884,958.00"," 7,454,558.45 ","66.23 ","66.62 "
"TPLP","TPL PROPERTIES LIMITED","22,000,225.00"," 226,903,173.44 ","14,653,122.00"," 154,740,356.20 ","66.60 ","68.20 "
"TPLRF1","TPL REIT FUND I","2,322.00"," 31,485.60 ","2,322.00"," 31,485.60 ","100.00 ","100.00 "
"TPLT","TPL TRAKKER LIMITED","12,219,868.00"," 100,579,238.48 ","6,920,504.00"," 57,030,622.62 ","56.63 ","56.70 "
"TREET","TREET CORPORATION LIMITED","9,036,972.00"," 210,464,231.38 ","4,417,195.00"," 107,339,776.88 ","48.88 ","51.00 "
"TRG","TRG PAKISTAN LIMITED  -  CLASS - (A)","13,925,148.00"," 827,086,286.84 ","5,445,414.00"," 323,641,470.67 ","39.10 ","39.13 "
"TRIPF","TRI-PACK FILMS LIMITED","119,685.00"," 19,741,134.10 ","90,136.00"," 14,884,919.39 ","75.31 ","75.40 "
"TRSM","TRUST MODARABA","1,475,522.00"," 13,707,978.10 ","1,307,717.00"," 12,201,462.46 ","88.63 ","89.01 "
"TSMF","TRI-STAR MUTUAL FUND LIMITED","4,524.00"," 45,356.75 ","4,524.00"," 45,356.75 ","100.00 ","100.00 "
"TSML","TANDLIANWALA SUGAR MILLS LIMITED","1,789.00"," 517,384.53 ","1,059.00"," 324,140.60 ","59.20 ","62.65 "
"TSPL","TRI - STAR POWER LIMITED","521.00"," 4,008.89 ","521.00"," 4,008.89 ","100.00 ","100.00 "
