"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"NCML","NAZIR COTTON MILLS LIMITED","2,000.00"," 26,590.00 ","2,000.00"," 26,590.00 ","100.00 ","100.00 "
"NCPL","NISHAT CHUNIAN POWER LIMITED","303,179.00"," 8,450,175.58 ","259,859.00"," 7,245,329.18 ","85.71 ","85.74 "
"NESTLE","NESTLE PAKISTAN LIMITED","583.00"," 4,817,925.38 ","396.00"," 3,276,093.85 ","67.92 ","68.00 "
"NETSOL","NETSOL TECHNOLOGIES LIMITED","357,843.00"," 51,525,540.17 ","209,719.00"," 30,217,256.37 ","58.61 ","58.65 "
"NEXT","NEXT CAPITAL LIMITED","575,819.00"," 6,804,377.52 ","418,104.00"," 4,946,711.95 ","72.61 ","72.70 "
"NICL","NIMIR INDUSTRIAL CHEMICALS LIMITED","28,878.00"," 4,997,339.13 ","23,200.00"," 4,023,085.82 ","80.34 ","80.50 "
"NITGETF","NIT PAK. GATEWAY EXCHANGE TRADED FUND","7,000.00"," 222,250.00 ","7,000.00"," 222,250.00 ","100.00 ","100.00 "
"NML","NISHAT MILLS LIMITED","590,933.00"," 87,910,059.30 ","396,004.00"," 59,689,381.29 ","67.01 ","67.90 "
"NONS","NOON SUGAR MILLS LIMITED","250.00"," 20,500.00 ","250.00"," 20,500.00 ","100.00 ","100.00 "
"NPL","NISHAT POWER LIMITED","595,602.00"," 23,067,311.57 ","584,359.00"," 22,632,443.33 ","98.11 ","98.11 "
"NRL","NATIONAL REFINERY LIMITED","5,054,850.00"," 1,389,082,124.68 ","1,753,581.00"," 483,451,247.62 ","34.69 ","34.80 "
"NRSL","NIMIR RESINS LIMITED","230,768.00"," 7,602,184.31 ","201,756.00"," 6,644,520.80 ","87.43 ","87.40 "
"NSRM","THE NATIONAL SILK & RAYON MILLS LIMITED","95.00"," 10,487.16 ","73.00"," 7,967.34 ","76.84 ","75.97 "
"OBOY","OILBOY ENERGY LIMITED","159,100.00"," 1,419,055.97 ","153,591.00"," 1,369,923.91 ","96.54 ","96.54 "
"OCTOPUS","OCTOPUS DIGITAL LIMITED","387,046.00"," 20,865,708.29 ","351,365.00"," 18,941,565.93 ","90.78 ","90.78 "
"OGDC","OIL & GAS DEVELOPMENT COMPANY LIMITED","14,218,751.00"," 3,693,931,479.43 ","5,711,519.00"," 1,522,392,623.29 ","40.17 ","41.21 "
"OLPL","OLP FINANCIAL SERVICES PAKISTAN LIMITED","10,864.00"," 478,941.93 ","10,563.00"," 465,097.13 ","97.23 ","97.11 "
"OLPM","OLP MODARABA","33,861.00"," 713,237.55 ","33,493.00"," 705,419.26 ","98.91 ","98.90 "
"ORM","ORIENT RENTAL MODARABA","13,832.00"," 155,010.35 ","13,832.00"," 155,010.35 ","100.00 ","100.00 "
"OTSU","OTSUKA PAKISTAN LIMITED","11,753.00"," 3,433,791.07 ","9,851.00"," 2,881,164.58 ","83.82 ","83.91 "
"P01GIS031225","1 YEAR GIS-DISCOUNTED-MATURITY 03-12-25","1.00"," 4,868.00 ","1.00"," 4,868.00 ","100.00 ","100.00 "
"P01GIS061125","1 YEAR GIS-DISCOUNTED-MATURITY 06-11-25","9,001.00"," 44,091,403.00 ","9,000.00"," 44,086,500.00 ","99.99 ","99.99 "
"P01GIS080126","1 YEAR GIS-DISCOUNTED-MAT DATE 08-01-26","1.00"," 4,822.00 ","1.00"," 4,822.00 ","100.00 ","100.00 "
"P01GIS201025","1 YEAR GIS-DISCOUNTED-MATURITY 20-10-25","7,004.00"," 34,508,700.50 ","7,003.00"," 34,503,773.50 ","99.99 ","99.99 "
"P01GIS290526","1 YEAR GIS-DISCOUNTED-MATURITY 29MAY26","1.00"," 4,650.50 ","1.00"," 4,650.50 ","100.00 ","100.00 "
"P01GIS300426","1 YEAR GIS-DISCOUNTED-MATURITY DT30-4-26","200.00"," 935,009.00 ","200.00"," 935,009.00 ","100.00 ","100.00 "
"PABC","PAKISTAN ALUMINIUM BEVERAGE CANS LTD","136,350.00"," 20,931,259.19 ","73,439.00"," 11,290,430.73 ","53.86 ","53.94 "
"PACE","PACE (PAKISTAN) LIMITED","3,945,481.00"," 23,532,688.96 ","2,877,778.00"," 17,160,986.86 ","72.94 ","72.92 "
"PAEL","PAK ELEKTRON LIMITED","16,448,853.00"," 710,686,536.01 ","7,821,140.00"," 353,833,482.25 ","47.55 ","49.79 "
"PAKD","PAK DATACOM LIMITED","7,113.00"," 1,513,516.32 ","6,668.00"," 1,418,754.91 ","93.74 ","93.74 "
"PAKL","PAK LEATHER CRAFTS LIMITED","2,400.00"," 78,302.50 ","1,700.00"," 55,843.50 ","70.83 ","71.32 "
"PAKOXY","PAKISTAN OXYGEN LIMITED","4,637.00"," 1,023,381.36 ","4,382.00"," 967,266.86 ","94.50 ","94.52 "
"PAKRI","PAKISTAN REINSURANCE COMPANY LIMITED","575,313.00"," 8,585,231.92 ","520,066.00"," 7,763,887.12 ","90.40 ","90.43 "
"PAKT","PAKISTAN TOBACCO COMPANY LIMITED","22,930.00"," 31,214,412.48 ","12,673.00"," 17,271,494.88 ","55.27 ","55.33 "
"PASL","PERVEZ AHMED CONSULTANCY SERVICES LTD","5,217,223.00"," 13,776,054.12 ","4,153,913.00"," 10,975,677.17 ","79.62 ","79.67 "
"PASM","PARAMOUNT SPINNING MILLS LIMITED","15,092.00"," 116,411.83 ","14,543.00"," 112,141.41 ","96.36 ","96.33 "
"PCAL","PAKISTAN CABLES LIMITED","36,291.00"," 6,432,509.87 ","16,183.00"," 2,857,757.35 ","44.59 ","44.43 "
"PECO","PAKISTAN ENGINEERING COMPANY LIMITED","219.00"," 142,936.99 ","207.00"," 134,823.10 ","94.52 ","94.32 "
"PGLC","PAK GULF LEASING COMPANY LIMITED","24,552.00"," 482,376.63 ","24,552.00"," 482,376.63 ","100.00 ","100.00 "
"PIAHCLA","PIA HOLDING COMPANY LIMITED-CLASS A","1,296,334.00"," 25,691,148.47 ","911,590.00"," 18,079,625.11 ","70.32 ","70.37 "
"PIAHCLB","PIA HOLDING COMPANY LIMITED-CLASS B","26.00"," 751,114.48 ","23.00"," 667,617.38 ","88.46 ","88.88 "
"PIBTL","PAKISTAN INTERNATIONAL BULK TERMINAL LTD","64,102,692.00"," 740,403,486.07 ","34,261,761.00"," 396,470,826.65 ","53.45 ","53.55 "
"PICT","PAKISTAN INTL CONTAINER TERMINAL LTD.","551,290.00"," 25,051,850.77 ","249,848.00"," 11,427,514.15 ","45.32 ","45.62 "
"PIL","PICIC INSURANCE LIMITED","1,695,529.00"," 10,760,513.07 ","1,356,957.00"," 8,711,202.97 ","80.03 ","80.96 "
"PIM","POPULAR ISLAMIC MODARABA","10,815.00"," 231,417.84 ","10,510.00"," 224,890.84 ","97.18 ","97.18 "
"PINL","PREMIER INSURANCE LIMITED","50,867.00"," 433,022.73 ","43,734.00"," 372,869.06 ","85.98 ","86.11 "
"PIOC","PIONEER CEMENT LIMITED","87,219.00"," 21,103,158.07 ","52,048.00"," 12,838,312.59 ","59.68 ","60.84 "
"PKGI","THE PAKISTAN GENERAL INSURANCE CO. LTD.","61,136.00"," 673,656.59 ","56,421.00"," 624,529.14 ","92.29 ","92.71 "
"PKGP","PAKGEN POWER LIMITED","9,022.00"," 1,176,842.45 ","7,307.00"," 955,038.75 ","80.99 ","81.15 "
"PKGS","PACKAGES LIMITED","9,289.00"," 6,423,605.19 ","9,126.00"," 6,312,749.48 ","98.25 ","98.27 "
"PMPK","PHILIP MORRIS (PAKISTAN) LIMITED","5,276.00"," 6,859,800.00 ","4,276.00"," 5,559,800.00 ","81.05 ","81.05 "
"PMRS","THE PREMIER SUGAR MILLS AND DIST.CO. LTD","1,535.00"," 498,001.50 ","1,535.00"," 498,001.50 ","100.00 ","100.00 "
"PNSC","PAKISTAN NATIONAL SHIPPING CORPORATION","58,595.00"," 25,723,234.23 ","32,880.00"," 14,469,338.94 ","56.11 ","56.25 "
"POL","PAKISTAN OILFIELDS LIMITED","130,683.00"," 83,072,533.21 ","78,488.00"," 50,701,156.32 ","60.06 ","61.03 "
"POML","PUNJAB OIL MILLS LIMITED","3,917.00"," 798,856.47 ","3,008.00"," 614,802.16 ","76.79 ","76.96 "
"POWER","POWER CEMENT LIMITED","4,024,180.00"," 61,255,804.65 ","3,335,352.00"," 50,734,176.34 ","82.88 ","82.82 "
"POWERPS","POWER CEMENT LIMITED - PREFERENCE SHARES","546.00"," 12,372.10 ","546.00"," 12,372.10 ","100.00 ","100.00 "
"PPL","PAKISTAN PETROLEUM LIMITED","8,335,280.00"," 1,493,704,171.41 ","4,352,090.00"," 791,645,923.68 ","52.21 ","53.00 "
"PPP","PAKISTAN PAPER PRODUCTS LIMITED","8,531.00"," 1,510,946.64 ","7,926.00"," 1,404,318.95 ","92.91 ","92.94 "
"PPVC","PAKISTAN PVC LIMITED","154,945.00"," 2,951,970.87 ","108,930.00"," 2,056,618.92 ","70.30 ","69.67 "
"PREMA","AT-TAHUR LIMITED","1,705,340.00"," 69,762,726.37 ","1,160,532.00"," 47,494,241.14 ","68.05 ","68.08 "
"PRET","PREMIUM TEXTILE MILLS LIMITED","7.00"," 3,380.00 ","6.00"," 2,914.99 ","85.71 ","86.24 "
"PRL","PAKISTAN REFINERY LIMITED","8,587,326.00"," 265,015,163.06 ","3,082,357.00"," 98,435,409.99 ","35.89 ","37.14 "
"PRWM","PROSPERITY WEAVING MILLS LIMITED","250.00"," 13,252.50 ","250.00"," 13,252.50 ","100.00 ","100.00 "
"PSEL","PAKISTAN SERVICES LIMITED","91.00"," 83,587.77 ","67.00"," 61,801.15 ","73.63 ","73.94 "
"PSO","PAKISTAN STATE OIL COMPANY LIMITED","4,719,070.00"," 1,850,876,967.15 ","2,335,194.00"," 936,399,475.06 ","49.48 ","50.59 "
"PSX","PAKISTAN STOCK EXCHANGE LIMITED","1,686,270.00"," 55,384,508.03 ","964,302.00"," 31,682,882.78 ","57.19 ","57.21 "
"PSYL","PAKISTAN SYNTHETICS LIMITED","60.00"," 4,018.80 ","60.00"," 4,018.80 ","100.00 ","100.00 "
"PTC","PAKISTAN TELECOMMUNICATION COMPANY LTD","3,731,997.00"," 86,077,830.11 ","2,731,265.00"," 63,209,481.17 ","73.19 ","73.43 "
"PTL","PANTHER TYRES LIMITED","364,563.00"," 19,050,677.91 ","250,974.00"," 13,118,032.92 ","68.84 ","68.86 "
"QUET","QUETTA TEXTILE MILLS LIMITED","158,978.00"," 2,743,510.81 ","110,036.00"," 1,906,313.72 ","69.21 ","69.48 "
"QUICE","QUICE FOOD INDUSTRIES LIMITED","1,309,040.00"," 10,775,595.54 ","734,990.00"," 6,058,525.90 ","56.15 ","56.22 "
"RCML","RELIANCE COTTON SPINNING MILLS LIMITED","19.00"," 9,489.78 ","19.00"," 9,489.78 ","100.00 ","100.00 "
"REDCO","REDCO TEXTILES LIMITED","3,145.00"," 83,480.21 ","3,064.00"," 81,396.00 ","97.42 ","97.50 "
"RICL","RELIANCE INSURANCE COMPANY LIMITED","13,296.00"," 166,578.10 ","13,296.00"," 166,578.10 ","100.00 ","100.00 "
"RMPL","RAFHAN MAIZE PRODUCTS COMPANY LIMITED","51.00"," 492,916.54 ","46.00"," 444,534.86 ","90.20 ","90.18 "
"RPL","ROSHAN PACKAGES LIMITED","549,451.00"," 11,450,729.38 ","407,700.00"," 8,498,511.72 ","74.20 ","74.22 "
"RUBY","RUBY TEXTILE MILLS LIMITED","7,870.00"," 114,621.38 ","7,134.00"," 104,012.62 ","90.65 ","90.74 "
"RUPL","RUPALI POLYESTER LIMITED","8,478.00"," 276,673.36 ","6,750.00"," 221,316.44 ","79.62 ","79.99 "
"SAIF","SAIF TEXTILE MILLS LIMITED","1,777.00"," 47,441.27 ","1,757.00"," 46,905.57 ","98.87 ","98.87 "
"SANSM","SANGHAR SUGAR MILLS LIMITED","54,817.00"," 3,565,621.24 ","34,867.00"," 2,274,081.19 ","63.61 ","63.78 "
"SAPT","SAPPHIRE TEXTILE MILLS LIMITED","261.00"," 357,564.97 ","261.00"," 357,564.97 ","100.00 ","100.00 "
"SARC","SARDAR CHEMICAL INDUSTRIES LIMITED","11,171.00"," 888,660.30 ","9,220.00"," 734,434.81 ","82.54 ","82.65 "
"SASML","SINDH ABADGARS SUGAR MILLS LIMITED","148.00"," 32,363.29 ","148.00"," 32,363.29 ","100.00 ","100.00 "
"SAZEW","SAZGAR ENGINEERING WORKS LIMITED","161,679.00"," 231,271,826.44 ","87,476.00"," 124,972,555.40 ","54.10 ","54.04 "
"SBL","SAMBA BANK LIMITED","99,386.00"," 968,911.40 ","97,291.00"," 948,317.68 ","97.89 ","97.87 "
"SCBPL","STANDARD CHARTERED BANK (PAKISTAN) LTD.","123,931.00"," 9,656,051.08 ","71,121.00"," 5,613,241.87 ","57.39 ","58.13 "
"SCL","SHIELD CORPORATION LIMITED","435.00"," 142,691.46 ","289.00"," 95,488.98 ","66.44 ","66.92 "
"SEARL","THE SEARLE COMPANY LIMITED","39,551,373.00"," 4,540,517,924.45 ","11,980,915.00"," 1,407,614,908.61 ","30.29 ","31.00 "
"SEL","SITARA ENERGY LIMITED","16,182.00"," 288,039.60 ","16,182.00"," 288,039.60 ","100.00 ","100.00 "
"SEPL","SECURITY PAPERS LIMITED","40,546.00"," 7,202,011.75 ","30,229.00"," 5,387,508.19 ","74.55 ","74.81 "
"SERT","SERVICE INDUSTRIES TEXTILES LIMITED","650.00"," 14,472.50 ","600.00"," 13,330.00 ","92.31 ","92.11 "
"SFL","SAPPHIRE FIBRES LIMITED","91.00"," 98,558.27 ","63.00"," 68,553.54 ","69.23 ","69.56 "
"SGF","SERVICE GLOBAL FOOTWEAR LIMITED","15,827.00"," 1,212,311.04 ","14,928.00"," 1,144,058.43 ","94.32 ","94.37 "
"SGPL","S.G. POWER LIMITED","1,125,795.00"," 14,749,565.27 ","645,280.00"," 8,544,451.68 ","57.32 ","57.93 "
"SHCM","SHADMAN COTTON MILLS LIMITED","19,433.00"," 871,379.92 ","14,375.00"," 654,065.86 ","73.97 ","75.06 "
"SHDT","SHADAB TEXTILE MILLS LIMITED","39,233.00"," 2,212,216.91 ","20,672.00"," 1,167,210.67 ","52.69 ","52.76 "
"SHEZ","SHEZAN INTERNATIONAL LIMITED","3,589.00"," 723,770.29 ","2,888.00"," 583,107.30 ","80.47 ","80.57 "
"SHFA","SHIFA INTERNATIONAL HOSPITALS LTD.","7,924.00"," 4,677,448.85 ","3,160.00"," 1,892,283.69 ","39.88 ","40.46 "
"SHJS","SHAHTAJ SUGAR MILLS LIMITED","189.00"," 25,347.51 ","187.00"," 25,094.47 ","98.94 ","99.00 "
"SHNI","SHAHEEN INSURANCE COMPANY LIMITED","30,196.00"," 291,974.29 ","25,186.00"," 243,878.29 ","83.41 ","83.53 "
"SHSML","SHAHMURAD SUGAR MILLS LIMITED","1,005.00"," 423,400.47 ","964.00"," 405,774.80 ","95.92 ","95.84 "
"SIBL","SECURITY INVESTMENT BANK LIMITED","38,610.00"," 402,745.47 ","38,102.00"," 397,712.99 ","98.68 ","98.75 "
"SIEM","SIEMENS PAKISTAN COMPANY ENGINEERING LTD","2,100.00"," 3,253,200.00 ","-"," 34,300.00 ","- ","1.05 "
"SINDM","SINDH MODARABA","14,068.00"," 209,351.26 ","13,548.00"," 201,992.86 ","96.30 ","96.49 "
"SITC","SITARA CHEMICAL INDUSTRIES LIMITED","3,519.00"," 2,200,324.50 ","3,519.00"," 2,200,324.50 ","100.00 ","100.00 "
"SKRS","SAKRAND SUGAR MILLS LIMITED","64,714.00"," 748,392.08 ","64,008.00"," 740,037.34 ","98.91 ","98.88 "
"SLGL","SECURE LOGISTICS GROUP LIMITED","21,645,188.00"," 376,741,740.50 ","12,170,099.00"," 212,700,688.97 ","56.23 ","56.46 "
"SLYT","SALLY TEXTILE MILLS LIMITED","1,841.00"," 27,645.12 ","1,711.00"," 25,702.06 ","92.94 ","92.97 "
"SMCPL","SAFE MIX CONCRETE LIMITED","68,966.00"," 1,765,581.79 ","47,966.00"," 1,233,716.79 ","69.55 ","69.88 "
"SML","SHAKARGANJ LIMITED","12,715.00"," 826,559.86 ","12,710.00"," 826,238.62 ","99.96 ","99.96 "
"SNAI","SANA INDUSTRIES LIMITED","4,410.00"," 117,423.69 ","4,400.00"," 117,149.52 ","99.77 ","99.77 "
"SNBL","SONERI BANK LIMITED","357,155.00"," 8,844,703.20 ","321,780.00"," 7,968,551.46 ","90.10 ","90.09 "
"SNGP","SUI NORTHERN GAS PIPELINES LIMITED","1,191,131.00"," 135,951,785.69 ","778,420.00"," 90,968,011.77 ","65.35 ","66.91 "
"SPEL","SPEL LIMITED","12,477,296.00"," 815,451,620.49 ","6,946,047.00"," 454,997,448.79 ","55.67 ","55.80 "
"SPL","SITARA PEROXIDE LIMITED","6,120.00"," 110,301.05 ","5,870.00"," 105,701.55 ","95.92 ","95.83 "
"SPWL","SAIF POWER LIMITED","974,889.00"," 11,690,033.15 ","884,314.00"," 10,612,160.28 ","90.71 ","90.78 "
"SRVI","SERVICE INDUSTRIES LIMITED","15,241.00"," 20,218,610.78 ","14,777.00"," 19,604,514.93 ","96.96 ","96.96 "
"SSGC","SUI SOUTHERN GAS COMPANY LIMITED","3,503,558.00"," 143,086,025.09 ","2,958,444.00"," 120,786,299.67 ","84.44 ","84.42 "
"SSML","SARITOW SPINNING MILLS LIMITED","33,264.00"," 505,412.95 ","32,858.00"," 499,382.95 ","98.78 ","98.81 "
"SSOM","S. S. OIL MILLS LIMITED","33,089.00"," 24,794,756.80 ","22,517.00"," 17,062,584.09 ","68.05 ","68.82 "
"STCL","SHABBIR TILES AND CERAMICS LIMITED","769,570.00"," 13,104,445.13 ","665,476.00"," 11,330,350.83 ","86.47 ","86.46 "
"STJT","SHAHTAJ TEXTILE LIMITED","11.00"," 865.67 ","10.00"," 789.61 ","90.91 ","91.21 "
"STL","SUPERNET TECHNOLOGIES LIMITED","4.00"," 3,184.52 ","4.00"," 3,184.52 ","100.00 ","100.00 "
"STML","SHAMS TEXTILE MILLS LIMITED","2,230.00"," 75,511.70 ","2,230.00"," 75,511.70 ","100.00 ","100.00 "
"STPL","SIDDIQSONS TIN PLATE LIMITED","3,598,400.00"," 27,631,666.62 ","2,061,513.00"," 15,863,547.87 ","57.29 ","57.41 "
