"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"SBL","SAMBA BANK LIMITED","14,466.00"," 136,081.81 ","4,472.00"," 43,943.79 ","30.91 ","32.29 "
"SCBPL","STANDARD CHARTERED BANK (PAKISTAN) LTD.","47,037.00"," 3,290,427.31 ","46,196.00"," 3,231,355.76 ","98.21 ","98.20 "
"SCL","SHIELD CORPORATION LIMITED","21.00"," 6,835.00 ","21.00"," 6,835.00 ","100.00 ","100.00 "
"SEARL","THE SEARLE COMPANY LIMITED","2,681,717.00"," 243,471,064.78 ","1,499,812.00"," 140,064,978.32 ","55.93 ","57.53 "
"SEL","SITARA ENERGY LIMITED","1,360.00"," 15,556.28 ","1,360.00"," 15,556.28 ","100.00 ","100.00 "
"SEPL","SECURITY PAPERS LIMITED","19,735.00"," 3,417,157.33 ","18,811.00"," 3,257,622.48 ","95.32 ","95.33 "
"SERT","SERVICE INDUSTRIES TEXTILES LIMITED","131,196.00"," 3,418,967.76 ","126,196.00"," 3,288,667.76 ","96.19 ","96.19 "
"SFL","SAPPHIRE FIBRES LIMITED","27.00"," 29,935.02 ","14.00"," 15,539.81 ","51.85 ","51.91 "
"SGF","SERVICE GLOBAL FOOTWEAR LIMITED","25,498.00"," 2,010,669.84 ","23,347.00"," 1,838,908.71 ","91.56 ","91.46 "
"SGPL","S.G. POWER LIMITED","867,568.00"," 7,497,480.52 ","513,654.00"," 4,488,826.99 ","59.21 ","59.87 "
"SHCM","SHADMAN COTTON MILLS LIMITED","205.00"," 8,205.70 ","199.00"," 7,971.64 ","97.07 ","97.15 "
"SHDT","SHADAB TEXTILE MILLS LIMITED","25,414.00"," 1,476,111.88 ","22,460.00"," 1,307,114.49 ","88.38 ","88.55 "
"SHEZ","SHEZAN INTERNATIONAL LIMITED","16,921.00"," 3,695,077.56 ","10,818.00"," 2,355,987.04 ","63.93 ","63.76 "
"SHFA","SHIFA INTERNATIONAL HOSPITALS LTD.","157,131.00"," 88,041,930.78 ","128,860.00"," 72,189,439.93 ","82.01 ","81.99 "
"SHJS","SHAHTAJ SUGAR MILLS LIMITED","5.00"," 620.01 ","5.00"," 620.01 ","100.00 ","100.00 "
