"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"BWHL","BALUCHISTAN WHEELS LIMITED","37,652.00"," 6,607,713.90 ","33,145.00"," 5,816,939.70 ","88.03 ","88.03 "
"CASH","CALCORP LIMITED","2,903.00"," 107,438.76 ","2,901.00"," 107,362.76 ","99.93 ","99.93 "
"CCM","CRESCENT COTTON MILLS LIMITED","435.00"," 23,054.50 ","430.00"," 22,793.75 ","98.85 ","98.87 "
"CENI","CENTURY INSURANCE COMPANY LIMITED","18,162.00"," 837,166.88 ","15,143.00"," 698,785.99 ","83.38 ","83.47 "
"CEPB","CENTURY PAPER AND BOARD MILLS LIMITED","198,287.00"," 5,578,949.89 ","137,912.00"," 3,880,340.12 ","69.55 ","69.55 "
"CFL","CRESCENT FIBRES LIMITED","4,830.00"," 261,385.00 ","4,630.00"," 251,070.00 ","95.86 ","96.05 "
"CHAS","CHASHMA SUGAR MILLS LIMITED","20,850.00"," 1,473,133.44 ","19,256.00"," 1,358,008.52 ","92.35 ","92.19 "
"CHBL","CHENAB LIMITED","1,430,559.00"," 33,822,243.05 ","708,937.00"," 16,715,040.67 ","49.56 ","49.42 "
"CHCC","CHERAT CEMENT COMPANY LIMITED","525,154.00"," 164,260,566.99 ","484,234.00"," 151,543,586.29 ","92.21 ","92.26 "
"CJPL","CRESCENT JUTE PRODUCTS LIMITED","1,204,565.00"," 15,427,586.40 ","621,223.00"," 7,947,797.88 ","51.57 ","51.52 "
"CLCPS","CHENAB LTD-NON VOTING CUM. PREF. SHARES","335,612.00"," 1,495,538.11 ","317,519.00"," 1,417,062.93 ","94.61 ","94.75 "
"CLOV","CLOVER PAKISTAN LIMITED","79,354.00"," 3,228,302.11 ","77,608.00"," 3,157,167.21 ","97.80 ","97.80 "
"CLVL","CORDOBA LOGISTICS & VENTURES LIMITED","2,476.00"," 45,474.98 ","1,775.00"," 32,731.72 ","71.69 ","71.98 "
"CNERGY","CNERGYICO PK LIMITED","10,772,499.00"," 74,929,497.64 ","6,320,772.00"," 45,580,512.88 ","58.68 ","60.83 "
"COLG","COLGATE PALMOLIVE (PAKISTAN) LIMITED","6,799.00"," 8,972,753.67 ","6,698.00"," 8,839,492.29 ","98.51 ","98.51 "
"CPHL","CITI PHARMA LIMITED","9,076,796.00"," 791,594,625.56 ","4,200,897.00"," 367,928,866.77 ","46.28 ","46.48 "
"CPPL","CHERAT PACKAGING LIMITED","105,214.00"," 12,347,055.05 ","74,823.00"," 8,779,879.89 ","71.12 ","71.11 "
"CRTM","THE CRESCENT TEXTILE MILLS LIMITED","202,508.00"," 4,358,404.76 ","185,620.00"," 3,996,740.00 ","91.66 ","91.70 "
"CSAP","CRESCENT STEEL AND ALLIED PRODUCTS LTD.","387,689.00"," 39,475,474.42 ","307,676.00"," 31,338,612.35 ","79.36 ","79.39 "
"CSIL","CRESCENT STAR INSURANCE LIMITED","1,995,107.00"," 7,594,229.16 ","1,380,370.00"," 5,274,546.28 ","69.19 ","69.45 "
"CTM","COLONY TEXTILE MILLS LIMITED","436,809.00"," 2,612,793.63 ","394,809.00"," 2,359,881.79 ","90.38 ","90.32 "
"CWSM","CHAKWAL SPINNING MILLS LIMITED","68,241.00"," 2,391,495.16 ","56,321.00"," 1,972,037.52 ","82.53 ","82.46 "
"CYAN","CYAN LIMITED","106,824.00"," 4,135,218.87 ","98,362.00"," 3,809,161.43 ","92.08 ","92.12 "
"DAAG","DATA AGRO LIMITED","5,690.00"," 624,973.59 ","4,353.00"," 475,299.83 ","76.50 ","76.05 "
"DADX","DADEX ETERNIT LIMITED","6,490.00"," 433,881.25 ","6,230.00"," 416,775.55 ","95.99 ","96.06 "
"DBCI","DADABHOY CEMENT INDUSTRIES LIMITED","38,736.00"," 236,981.12 ","38,260.00"," 234,010.89 ","98.77 ","98.75 "
"DCL","DEWAN CEMENT LIMITED","1,996,506.00"," 24,935,583.53 ","1,684,257.00"," 21,041,217.00 ","84.36 ","84.38 "
"DCR","DOLMEN CITY REIT","746,172.00"," 21,197,584.85 ","686,469.00"," 19,504,645.75 ","92.00 ","92.01 "
"DEL","DAWOOD EQUITIES LIMITED","177,683.00"," 2,580,732.28 ","153,862.00"," 2,238,613.94 ","86.59 ","86.74 "
"DFML","DEWAN FAROOQUE MOTORS LIMITED","1,057,940.00"," 36,387,140.20 ","771,702.00"," 26,540,363.27 ","72.94 ","72.94 "
"DFSM","DEWAN FAROOQUE SPINNING MILLS LIMITED","234,883.00"," 1,439,480.33 ","158,469.00"," 973,178.67 ","67.47 ","67.61 "
"DGKC","D.G. KHAN CEMENT COMPANY LIMITED","5,921,181.00"," 1,019,217,069.88 ","2,374,543.00"," 448,236,807.62 ","40.10 ","43.98 "
"DHPL","DH PARTNERS LIMITED","613,652.00"," 27,314,034.55 ","459,989.00"," 20,488,070.91 ","74.96 ","75.01 "
"DIIL","DIAMOND INDUSTRIES LIMITED","4,369.00"," 155,881.53 ","2,932.00"," 103,917.97 ","67.11 ","66.66 "
"DINT","DIN TEXTILE MILLS LIMITED","754.00"," 67,439.35 ","749.00"," 67,027.48 ","99.34 ","99.39 "
"DLL","DAWOOD LAWRENCEPUR LIMITED","436.00"," 122,121.29 ","425.00"," 119,008.40 ","97.48 ","97.45 "
"DMTM","DEWAN MUSHTAQ TEXTILE MILLS LIMITED","103.00"," 1,165.08 ","102.00"," 1,153.98 ","99.03 ","99.05 "
"DNCC","DANDOT CEMENT COMPANY LIMITED","19,780.00"," 305,029.62 ","19,780.00"," 305,029.62 ","100.00 ","100.00 "
"DOL","DESCON OXYCHEM LIMITED","216,860.00"," 7,379,934.31 ","202,858.00"," 6,902,694.11 ","93.54 ","93.53 "
"DSIL","D. S. INDUSTRIES LIMITED","410,217.00"," 2,553,190.56 ","390,577.00"," 2,430,200.67 ","95.21 ","95.18 "
"DSL","DOST STEELS LIMITED","1,216,665.00"," 11,118,532.46 ","1,118,301.00"," 10,211,905.74 ","91.92 ","91.85 "
"DWAE","DEWAN AUTOMOTIVE ENGINEERING LIMITED","15,302.00"," 430,677.66 ","13,200.00"," 371,320.05 ","86.26 ","86.22 "
"DWSM","DEWAN SUGAR MILLS LIMITED","90,054.00"," 569,934.05 ","61,703.00"," 388,938.39 ","68.52 ","68.24 "
"DWTM","DEWAN TEXTILE MILLS LIMITED","19,265.00"," 152,172.20 ","18,964.00"," 149,845.54 ","98.44 ","98.47 "
"DYNO","DYNEA PAKISTAN LIMITED","7,803.00"," 2,266,007.63 ","802.00"," 239,137.64 ","10.28 ","10.55 "
"ECOP","ECOPACK LIMITED","273,678.00"," 13,445,367.90 ","209,378.00"," 10,285,898.48 ","76.51 ","76.50 "
"EFERT","ENGRO FERTILIZERS LIMITED","809,970.00"," 168,333,641.78 ","591,000.00"," 123,928,668.24 ","72.97 ","73.62 "
"EFUG","EFU GENERAL INSURANCE LIMITED","9,606.00"," 1,194,850.10 ","8,572.00"," 1,065,922.26 ","89.24 ","89.21 "
"EFUL","EFU LIFE ASSURANCE LIMITED","1,903.00"," 302,591.37 ","1,803.00"," 286,785.87 ","94.75 ","94.78 "
"ELCM","ELAHI COTTON MILLS LIMITED","220.00"," 32,791.15 ","158.00"," 24,036.71 ","71.82 ","73.30 "
"ELSM","ELLCOT SPINNING MILLS LIMITED","1,474.00"," 177,855.10 ","1,474.00"," 177,855.10 ","100.00 ","100.00 "
"EMCO","EMCO INDUSTRIES LIMITED","225,249.00"," 14,355,009.67 ","108,277.00"," 6,898,939.40 ","48.07 ","48.06 "
"ENGROH","ENGRO HOLDINGS LIMITED","1,179,325.00"," 251,357,944.47 ","768,192.00"," 163,808,496.48 ","65.14 ","65.17 "
"EPCL","ENGRO POLYMER & CHEMICALS LIMITED","1,231,327.00"," 34,522,665.67 ","934,123.00"," 26,399,451.66 ","75.86 ","76.47 "
"EPCLPS","ENGRO POLYMER & CHEMICALS LTD - PREF.SH.","42,884.00"," 549,959.67 ","24,918.00"," 340,549.75 ","58.11 ","61.92 "
"EPQL","ENGRO POWERGEN QADIRPUR LIMITED","755,016.00"," 21,225,787.29 ","692,681.00"," 19,471,873.05 ","91.74 ","91.74 "
"ESBL","ESCORTS INVESTMENT BANK LIMITED","6,820.00"," 46,499.50 ","6,810.00"," 46,429.50 ","99.85 ","99.85 "
"EXIDE","EXIDE PAKISTAN LIMITED","21,710.00"," 16,507,720.12 ","19,146.00"," 14,559,328.71 ","88.19 ","88.20 "
"FABL","FAYSAL BANK LIMITED","8,061,425.00"," 613,583,379.17 ","4,241,239.00"," 337,195,311.71 ","52.61 ","54.96 "
"FANM","FIRST AL-NOOR MODARABA","1,111,422.00"," 6,421,136.59 ","739,977.00"," 4,307,721.70 ","66.58 ","67.09 "
"FASM","FAISAL SPINNING MILLS LIMITED","1,638.00"," 645,564.70 ","1,514.00"," 597,168.53 ","92.43 ","92.50 "
"FATIMA","FATIMA FERTILIZER COMPANY LIMITED","2,032,266.00"," 251,639,884.39 ","1,346,028.00"," 171,067,990.81 ","66.23 ","67.98 "
"FCCL","FAUJI CEMENT COMPANY LIMITED","12,722,337.00"," 606,174,736.85 ","5,936,904.00"," 292,671,419.51 ","46.67 ","48.28 "
"FCEL","FIRST CAPITAL EQUITIES LIMITED","48,601.00"," 214,023.34 ","35,590.00"," 158,783.90 ","73.23 ","74.19 "
"FCEPL","FRIESLANDCAMPINA ENGRO PAKISTAN LIMITED","644,636.00"," 55,142,844.05 ","547,423.00"," 46,825,461.07 ","84.92 ","84.92 "
"FCIBL","FIRST CREDIT AND INVESTMENT BANK LIMITED","11,443.00"," 156,911.41 ","9,731.00"," 133,631.45 ","85.04 ","85.16 "
"FCL","FAST CABLES LIMITED","7,637,277.00"," 194,193,687.68 ","5,034,254.00"," 128,265,654.61 ","65.92 ","66.05 "
"FCSC","FIRST CAPITAL SECURITIES CORPORATION LTD","734,820.00"," 1,992,787.97 ","595,699.00"," 1,614,485.65 ","81.07 ","81.02 "
"FDPL","FIRST DAWOOD PROPERTIES LIMITED","4,925,465.00"," 31,714,358.81 ","3,423,517.00"," 22,028,697.89 ","69.51 ","69.46 "
"FECM","FIRST ELITE CAPITAL MODARABA","9,975.00"," 280,066.15 ","7,525.00"," 211,838.00 ","75.44 ","75.64 "
"FECTC","FECTO CEMENT LIMITED","93,939.00"," 8,192,992.82 ","76,263.00"," 6,664,829.36 ","81.18 ","81.35 "
"FEM","FIRST EQUITY MODARABA","2,933,369.00"," 19,161,944.06 ","1,569,307.00"," 10,756,699.07 ","53.50 ","56.14 "
"FEROZ","FEROZSONS LABORATORIES LIMITED","36,093.00"," 15,345,406.07 ","27,452.00"," 11,668,897.90 ","76.06 ","76.04 "
"FFC","FAUJI FERTILIZER COMPANY LIMITED","3,085,956.00"," 1,382,673,373.73 ","1,820,011.00"," 833,994,712.61 ","58.98 ","60.32 "
"FFL","FAUJI FOODS LIMITED","8,338,568.00"," 133,663,276.72 ","5,805,438.00"," 93,160,574.50 ","69.62 ","69.70 "
"FFLM","FIRST FIDELITY LEASING MODARABA","1,647,981.00"," 13,266,583.37 ","1,538,635.00"," 12,392,279.33 ","93.36 ","93.41 "
"FHAM","FIRST HABIB MODARABA","141,250.00"," 3,932,658.31 ","137,495.00"," 3,828,958.74 ","97.34 ","97.36 "
"FIBLM","FIRST IBL MODARABA","547,724.00"," 5,194,836.28 ","547,724.00"," 5,194,836.28 ","100.00 ","100.00 "
"FIL","FATEH INDUSTRIES LIMITED","130.00"," 24,458.02 ","2.00"," 1,354.02 ","1.54 ","5.54 "
