"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"IBLHL","IBL HEALTHCARE LIMITED","1,356,027.00"," 86,117,554.25 ","997,831.00"," 63,501,597.65 ","73.58 ","73.74 "
"ICCI","ICC INDUSTRIES LIMITED","11,652.00"," 142,616.47 ","11,652.00"," 142,616.47 ","100.00 ","100.00 "
"ICIBL","INVEST CAPITAL INVESTMENT BANK LIMITED","4,771,574.00"," 37,726,045.22 ","2,633,393.00"," 20,778,371.72 ","55.19 ","55.08 "
"ICL","ITTEHAD CHEMICALS LIMITED","99,420.00"," 9,197,874.33 ","60,355.00"," 5,581,859.18 ","60.71 ","60.69 "
"IDRT","IDREES TEXTILE MILLS LIMITED","5,333.00"," 109,038.07 ","4,468.00"," 91,219.97 ","83.78 ","83.66 "
"IDSM","IDEAL SPINNING MILLS LIMITED","6,808.00"," 166,767.00 ","6,306.00"," 154,468.00 ","92.63 ","92.63 "
"IDYM","INDUS DYEING AND MANUFACTURING CO. LTD.","4,697.00"," 836,535.92 ","3,709.00"," 662,759.17 ","78.97 ","79.23 "
"IGIHL","IGI HOLDINGS LIMITED","489,563.00"," 141,277,941.01 ","297,521.00"," 85,878,014.48 ","60.77 ","60.79 "
"IGIL","IGI LIFE INSURANCE LIMITED","1,476.00"," 32,827.00 ","1,476.00"," 32,827.00 ","100.00 ","100.00 "
"ILP","INTERLOOP LIMITED","1,303,804.00"," 96,057,045.00 ","807,380.00"," 61,660,767.14 ","61.92 ","64.19 "
"IMAGE","IMAGE PAKISTAN LIMITED","3,211,760.00"," 90,935,795.97 ","2,435,686.00"," 68,989,685.15 ","75.84 ","75.87 "
"IML","IMPERIAL LIMITED","3,169.00"," 62,194.28 ","3,000.00"," 59,132.00 ","94.67 ","95.08 "
"IMS","INTERMARKET SECURITIES LIMITED","4,860,065.00"," 60,990,434.07 ","3,703,434.00"," 46,451,371.55 ","76.20 ","76.16 "
"INDU","INDUS MOTOR COMPANY LIMITED","5,926.00"," 12,559,676.26 ","5,373.00"," 11,393,121.73 ","90.67 ","90.71 "
"INIL","INTERNATIONAL INDUSTRIES LIMITED","118,737.00"," 20,995,953.39 ","107,667.00"," 19,187,455.71 ","90.68 ","91.39 "
"INKL","INTERNATIONAL KNITWEAR LIMITED","64,989.00"," 2,253,125.60 ","53,235.00"," 1,834,308.00 ","81.91 ","81.41 "
"IPAK","INTERNATIONAL PACKAGING FILMS LIMITED","154,467.00"," 3,634,301.98 ","126,136.00"," 2,971,116.04 ","81.66 ","81.75 "
"ISIL","ISMAIL INDUSTRIES LIMITED","46.00"," 96,483.51 ","24.00"," 50,679.42 ","52.17 ","52.53 "
"ISL","INTERNATIONAL STEELS LIMITED","582,314.00"," 53,984,409.15 ","422,903.00"," 40,160,957.71 ","72.62 ","74.39 "
"ITTEFAQ","ITTEFAQ IRON INDUSTRIES LIMITED","998,975.00"," 8,491,304.24 ","867,361.00"," 7,354,372.14 ","86.83 ","86.61 "
"JATM","J. A. TEXTILE MILLS LIMITED","11,934.00"," 334,410.55 ","10,895.00"," 305,514.20 ","91.29 ","91.36 "
"JDMT","JANANA DE MALUCHO TEXTILE MILLS LIMITED","68,086.00"," 6,255,082.22 ","20,141.00"," 1,792,379.88 ","29.58 ","28.65 "
"JDWS","JDW SUGAR MILLS LIMITED","4,394.00"," 4,166,899.20 ","4,086.00"," 3,875,389.86 ","92.99 ","93.00 "
"JGICL","JUBILEE GENERAL INSURANCE COMPANY LTD.","418,222.00"," 29,437,410.54 ","400,209.00"," 28,201,370.47 ","95.69 ","95.80 "
"JKSM","J.K. SPINNING MILLS LIMITED","42,333.00"," 6,681,902.18 ","15,177.00"," 2,359,345.44 ","35.85 ","35.31 "
"JLICL","JUBILEE LIFE INSURANCE COMPANY LIMITED","5,332.00"," 930,543.22 ","4,059.00"," 712,208.25 ","76.13 ","76.54 "
"JSBL","JS BANK LIMITED","594,658.00"," 8,798,694.51 ","571,777.00"," 8,458,030.74 ","96.15 ","96.13 "
"JSCL","JAHANGIR SIDDIQUI AND CO. LTD","2,260,686.00"," 57,008,957.78 ","1,357,779.00"," 34,299,639.24 ","60.06 ","60.17 "
