"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"DBCI","DADABHOY CEMENT INDUSTRIES LIMITED","1,029,674.00"," 6,318,725.26 ","772,189.00"," 4,754,733.05 ","74.99 ","75.25 "
"DCL","DEWAN CEMENT LIMITED","45,778,863.00"," 683,232,513.19 ","16,301,928.00"," 244,210,024.50 ","35.61 ","35.74 "
"DCR","DOLMEN CITY REIT","380,985.00"," 10,465,024.98 ","372,682.00"," 10,237,253.72 ","97.82 ","97.82 "
"DEL","DAWOOD EQUITIES LIMITED","79,704.00"," 776,718.34 ","62,050.00"," 607,782.34 ","77.85 ","78.25 "
"DFML","DEWAN FAROOQUE MOTORS LIMITED","2,431,681.00"," 87,521,522.58 ","1,207,136.00"," 43,597,013.69 ","49.64 ","49.81 "
"DFSM","DEWAN FAROOQUE SPINNING MILLS LIMITED","388,733.00"," 1,420,877.58 ","354,104.00"," 1,297,178.45 ","91.09 ","91.29 "
"DGKC","D.G. KHAN CEMENT COMPANY LIMITED","3,159,611.00"," 474,659,318.04 ","1,844,568.00"," 285,385,796.28 ","58.38 ","60.12 "
"DHPL","DH PARTNERS LIMITED","29,246.00"," 1,091,102.68 ","28,545.00"," 1,064,567.40 ","97.60 ","97.57 "
"DINT","DIN TEXTILE MILLS LIMITED","1,577.00"," 86,375.40 ","733.00"," 43,424.39 ","46.48 ","50.27 "
"DLL","DAWOOD LAWRENCEPUR LIMITED","1,136.00"," 276,522.36 ","921.00"," 224,672.30 ","81.07 ","81.25 "
"DMTM","DEWAN MUSHTAQ TEXTILE MILLS LIMITED","1,122.00"," 11,822.99 ","916.00"," 9,584.24 ","81.64 ","81.06 "
"DNCC","DANDOT CEMENT COMPANY LIMITED","90,967.00"," 1,415,632.81 ","82,894.00"," 1,290,834.45 ","91.13 ","91.18 "
"DOL","DESCON OXYCHEM LIMITED","1,660,680.00"," 51,766,596.39 ","1,082,990.00"," 33,812,104.00 ","65.21 ","65.32 "
