"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"CHCC","CHERAT CEMENT COMPANY LIMITED","709,575.00"," 203,588,380.15 ","575,487.00"," 166,114,448.16 ","81.10 ","81.59 "
"CJPL","CRESCENT JUTE PRODUCTS LIMITED","4,658,839.00"," 35,305,486.09 ","2,990,589.00"," 22,631,151.20 ","64.19 ","64.10 "
"CLCPS","CHENAB LTD-NON VOTING CUM. PREF. SHARES","388,738.00"," 1,150,440.98 ","205,135.00"," 630,747.08 ","52.77 ","54.83 "
"CLOV","CLOVER PAKISTAN LIMITED","293,218.00"," 11,871,226.53 ","237,552.00"," 9,616,024.64 ","81.02 ","81.00 "
"CLVL","CORDOBA LOGISTICS & VENTURES LIMITED","7,435.00"," 130,494.77 ","2,453.00"," 46,517.45 ","32.99 ","35.65 "
"CNERGY","CNERGYICO PK LIMITED","44,450,201.00"," 308,166,390.80 ","27,289,366.00"," 193,617,899.63 ","61.39 ","62.83 "
"COLG","COLGATE PALMOLIVE (PAKISTAN) LIMITED","8,004.00"," 10,788,145.81 ","5,448.00"," 7,348,828.22 ","68.07 ","68.12 "
"CPHL","CITI PHARMA LIMITED","2,638,131.00"," 217,863,890.18 ","1,721,279.00"," 142,272,876.47 ","65.25 ","65.30 "
"CPPL","CHERAT PACKAGING LIMITED","60,996.00"," 6,700,808.87 ","50,583.00"," 5,560,685.19 ","82.93 ","82.99 "
"CRTM","THE CRESCENT TEXTILE MILLS LIMITED","1,508,154.00"," 35,587,933.34 ","927,538.00"," 22,102,736.51 ","61.50 ","62.11 "
"CSAP","CRESCENT STEEL AND ALLIED PRODUCTS LTD.","322,658.00"," 35,505,364.63 ","219,063.00"," 24,146,647.91 ","67.89 ","68.01 "
"CSIL","CRESCENT STAR INSURANCE LIMITED","2,755,223.00"," 8,969,206.90 ","2,228,729.00"," 7,279,634.07 ","80.89 ","81.16 "
