"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"ELSM","ELLCOT SPINNING MILLS LIMITED","99.00"," 10,068.48 ","99.00"," 10,068.48 ","100.00 ","100.00 "
"EMCO","EMCO INDUSTRIES LIMITED","1,043.00"," 44,780.27 ","1,024.00"," 43,913.08 ","98.18 ","98.06 "
"ENGROH","ENGRO HOLDINGS LIMITED","2,333,859.00"," 408,072,585.22 ","1,020,733.00"," 182,682,853.88 ","43.74 ","44.77 "
"EPCL","ENGRO POLYMER & CHEMICALS LIMITED","273,941.00"," 8,777,339.12 ","249,513.00"," 7,994,423.89 ","91.08 ","91.08 "
"EPQL","ENGRO POWERGEN QADIRPUR LIMITED","27,415.00"," 766,035.27 ","27,415.00"," 766,035.27 ","100.00 ","100.00 "
"ESBL","ESCORTS INVESTMENT BANK LIMITED","1,939.00"," 11,556.63 ","1,938.00"," 11,550.85 ","99.95 ","99.95 "
"EXIDE","EXIDE PAKISTAN LIMITED","5,870.00"," 4,833,291.80 ","4,503.00"," 3,709,456.22 ","76.71 ","76.75 "
"FABL","FAYSAL BANK LIMITED","1,029,507.00"," 60,163,263.44 ","635,553.00"," 37,577,053.14 ","61.73 ","62.46 "
"PPL","PAKISTAN PETROLEUM LIMITED","3,208,088.00"," 511,197,687.06 ","1,378,658.00"," 228,716,360.56 ","42.97 ","44.74 "
"PPP","PAKISTAN PAPER PRODUCTS LIMITED","21,715.00"," 3,304,420.38 ","20,468.00"," 3,116,035.70 ","94.26 ","94.30 "
"PPVC","PAKISTAN PVC LIMITED","4.00"," 36.40 ","3.00"," 26.74 ","75.00 ","73.46 "
"PREMA","AT-TAHUR LIMITED","2,780,188.00"," 114,454,131.77 ","1,314,627.00"," 54,271,840.62 ","47.29 ","47.42 "
"PRET","PREMIUM TEXTILE MILLS LIMITED","1,427.00"," 643,998.62 ","1,288.00"," 581,569.40 ","90.26 ","90.31 "
"PRL","PAKISTAN REFINERY LIMITED","9,237,623.00"," 295,832,050.72 ","4,866,900.00"," 158,282,943.14 ","52.69 ","53.50 "
"PRWM","PROSPERITY WEAVING MILLS LIMITED","3,210.00"," 146,035.00 ","2,610.00"," 118,470.00 ","81.31 ","81.12 "
"PSEL","PAKISTAN SERVICES LIMITED","126,299.00"," 116,846,778.66 ","125,775.00"," 116,356,386.15 ","99.59 ","99.58 "
"PSO","PAKISTAN STATE OIL COMPANY LIMITED","3,174,625.00"," 1,141,173,739.87 ","1,381,782.00"," 508,536,710.87 ","43.53 ","44.56 "
"PSX","PAKISTAN STOCK EXCHANGE LIMITED","1,264,555.00"," 33,226,837.13 ","1,105,533.00"," 29,081,852.99 ","87.42 ","87.53 "
"PSYL","PAKISTAN SYNTHETICS LIMITED","13,982.00"," 804,958.51 ","8,865.00"," 515,690.12 ","63.40 ","64.06 "
"PTC","PAKISTAN TELECOMMUNICATION COMPANY LTD","4,134,461.00"," 98,194,413.80 ","3,060,243.00"," 74,588,984.31 ","74.02 ","75.96 "
"PTL","PANTHER TYRES LIMITED","49,291.00"," 1,973,649.15 ","48,091.00"," 1,925,531.57 ","97.57 ","97.56 "
"QUET","QUETTA TEXTILE MILLS LIMITED","27,038.00"," 414,178.09 ","5,580.00"," 85,054.27 ","20.64 ","20.54 "
"QUICE","QUICE FOOD INDUSTRIES LIMITED","311,600.00"," 2,307,703.60 ","289,455.00"," 2,144,522.89 ","92.89 ","92.93 "
"RCML","RELIANCE COTTON SPINNING MILLS LIMITED","140.00"," 61,611.65 ","140.00"," 61,611.65 ","100.00 ","100.00 "
"REDCO","REDCO TEXTILES LIMITED","8,331.00"," 219,261.28 ","7,121.00"," 187,542.78 ","85.48 ","85.53 "
"REWM","RELIANCE WEAVING MILLS LIMITED","16.00"," 2,319.70 ","16.00"," 2,319.70 ","100.00 ","100.00 "
"RICL","RELIANCE INSURANCE COMPANY LIMITED","27,015.00"," 262,169.60 ","26,784.00"," 259,932.16 ","99.14 ","99.15 "
"RMPL","RAFHAN MAIZE PRODUCTS COMPANY LIMITED","42.00"," 399,047.64 ","42.00"," 399,047.64 ","100.00 ","100.00 "
"RPL","ROSHAN PACKAGES LIMITED","241,039.00"," 4,165,170.82 ","165,708.00"," 2,863,830.36 ","68.75 ","68.76 "
"RUBY","RUBY TEXTILE MILLS LIMITED","3.00"," 25.02 ","3.00"," 25.02 ","100.00 ","100.00 "
"RUPL","RUPALI POLYESTER LIMITED","239,947.00"," 5,905,095.67 ","239,947.00"," 5,905,095.67 ","100.00 ","100.00 "
"SAIF","SAIF TEXTILE MILLS LIMITED","20,802.00"," 366,096.98 ","19,801.00"," 348,569.27 ","95.19 ","95.21 "
"SANSM","SANGHAR SUGAR MILLS LIMITED","1,685.00"," 79,843.55 ","1,685.00"," 79,843.55 ","100.00 ","100.00 "
"SAPT","SAPPHIRE TEXTILE MILLS LIMITED","4.00"," 4,420.00 ","-"," - ","- ","- "
"SARC","SARDAR CHEMICAL INDUSTRIES LIMITED","21,952.00"," 1,246,220.80 ","15,709.00"," 891,107.94 ","71.56 ","71.50 "
"SASML","SINDH ABADGARS SUGAR MILLS LIMITED","504.00"," 30,804.67 ","500.00"," 30,525.09 ","99.21 ","99.09 "
"SAZEW","SAZGAR ENGINEERING WORKS LIMITED","73,675.00"," 82,258,849.54 ","52,497.00"," 58,740,301.94 ","71.25 ","71.41 "
"SBL","SAMBA BANK LIMITED","419.00"," 3,985.09 ","418.00"," 3,975.10 ","99.76 ","99.75 "
"SCBPL","STANDARD CHARTERED BANK (PAKISTAN) LTD.","12,291.00"," 730,489.88 ","10,829.00"," 643,449.51 ","88.11 ","88.08 "
"SCL","SHIELD CORPORATION LIMITED","17.00"," 4,570.00 ","12.00"," 3,240.00 ","70.59 ","70.90 "
"SEARL","THE SEARLE COMPANY LIMITED","1,266,044.00"," 103,542,079.64 ","715,482.00"," 59,880,050.39 ","56.51 ","57.83 "
"SEL","SITARA ENERGY LIMITED","5,800.00"," 55,734.22 ","5,000.00"," 47,584.22 ","86.21 ","85.38 "
"SEPL","SECURITY PAPERS LIMITED","962.00"," 149,331.89 ","850.00"," 132,058.55 ","88.36 ","88.43 "
"SERT","SERVICE INDUSTRIES TEXTILES LIMITED","825,073.00"," 17,876,394.61 ","341,887.00"," 7,651,289.54 ","41.44 ","42.80 "
"SFL","SAPPHIRE FIBRES LIMITED","18.00"," 19,188.06 ","16.00"," 17,056.05 ","88.89 ","88.89 "
"SGF","SERVICE GLOBAL FOOTWEAR LIMITED","7,981.00"," 591,314.60 ","2,181.00"," 159,351.78 ","27.33 ","26.95 "
"SGPL","S.G. POWER LIMITED","51,335.00"," 364,729.20 ","39,496.00"," 278,437.00 ","76.94 ","76.34 "
"SHCM","SHADMAN COTTON MILLS LIMITED","4,603.00"," 232,706.30 ","4,587.00"," 231,827.90 ","99.65 ","99.62 "
