"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"HUSI","HUSEIN INDUSTRIES LIMITED","3,510.00"," 106,953.75 ","3,340.00"," 102,151.25 ","95.16 ","95.51 "
"HWQS","HASEEB WAQAS SUGAR MILLS LIMITED","96,239.00"," 1,797,365.32 ","94,570.00"," 1,766,446.33 ","98.27 ","98.28 "
"IBFL","IBRAHIM FIBRES LIMITED","188.00"," 57,332.40 ","188.00"," 57,332.40 ","100.00 ","100.00 "
"IBLHL","IBL HEALTHCARE LIMITED","1,995,726.00"," 118,987,280.03 ","1,423,728.00"," 85,498,947.24 ","71.34 ","71.86 "
"ICCI","ICC INDUSTRIES LIMITED","59,308.00"," 789,712.49 ","45,077.00"," 599,267.20 ","76.00 ","75.88 "
"ICIBL","INVEST CAPITAL INVESTMENT BANK LIMITED","1,829,018.00"," 11,529,533.58 ","1,462,660.00"," 9,223,729.04 ","79.97 ","80.00 "
"ICL","ITTEHAD CHEMICALS LIMITED","77,253.00"," 7,959,567.93 ","74,273.00"," 7,652,482.93 ","96.14 ","96.14 "
"IDRT","IDREES TEXTILE MILLS LIMITED","20,190.00"," 446,341.96 ","19,190.00"," 424,156.96 ","95.05 ","95.03 "
"IDSM","IDEAL SPINNING MILLS LIMITED","6,641.00"," 163,039.67 ","3,349.00"," 83,126.43 ","50.43 ","50.99 "
"IDYM","INDUS DYEING AND MANUFACTURING CO. LTD.","10,420.00"," 1,778,403.82 ","9,473.00"," 1,614,713.64 ","90.91 ","90.80 "
"IGIHL","IGI HOLDINGS LIMITED","318,341.00"," 90,252,817.06 ","63,877.00"," 18,530,814.44 ","20.07 ","20.53 "
"IGIL","IGI LIFE INSURANCE LIMITED","27,242.00"," 569,183.43 ","26,146.00"," 546,262.43 ","95.98 ","95.97 "
"ILP","INTERLOOP LIMITED","254,157.00"," 19,015,710.71 ","229,963.00"," 17,200,867.92 ","90.48 ","90.46 "
"IMAGE","IMAGE PAKISTAN LIMITED","2,011,234.00"," 56,650,586.81 ","1,746,242.00"," 49,194,670.14 ","86.82 ","86.84 "
"IML","IMPERIAL LIMITED","47,875.00"," 956,791.00 ","42,625.00"," 851,751.00 ","89.03 ","89.02 "
"IMS","INTERMARKET SECURITIES LIMITED","237,352.00"," 3,330,341.34 ","202,622.00"," 2,843,044.69 ","85.37 ","85.37 "
"INDU","INDUS MOTOR COMPANY LIMITED","4,480.00"," 9,889,690.05 ","4,060.00"," 8,964,131.38 ","90.63 ","90.64 "
"INIL","INTERNATIONAL INDUSTRIES LIMITED","55,093.00"," 12,085,495.15 ","36,431.00"," 8,104,686.67 ","66.13 ","67.06 "
"INKL","INTERNATIONAL KNITWEAR LIMITED","67,675.00"," 5,131,929.22 ","46,208.00"," 3,582,903.17 ","68.28 ","69.82 "
"IPAK","INTERNATIONAL PACKAGING FILMS LIMITED","398,915.00"," 9,907,250.94 ","383,915.00"," 9,537,650.94 ","96.24 ","96.27 "
"ISIL","ISMAIL INDUSTRIES LIMITED","198.00"," 436,537.63 ","150.00"," 331,119.77 ","75.76 ","75.85 "
"ISL","INTERNATIONAL STEELS LIMITED","61,761.00"," 7,427,775.67 ","45,691.00"," 5,642,997.99 ","73.98 ","75.97 "
"ITTEFAQ","ITTEFAQ IRON INDUSTRIES LIMITED","683,382.00"," 7,283,280.60 ","534,304.00"," 5,700,199.68 ","78.19 ","78.26 "
"JATM","J. A. TEXTILE MILLS LIMITED","16,625.00"," 419,751.83 ","14,651.00"," 369,214.67 ","88.13 ","87.96 "
"JDMT","JANANA DE MALUCHO TEXTILE MILLS LIMITED","11,521.00"," 1,025,386.21 ","11,521.00"," 1,025,386.21 ","100.00 ","100.00 "
"JDWS","JDW SUGAR MILLS LIMITED","2,427.00"," 2,039,977.12 ","2,361.00"," 1,985,437.86 ","97.28 ","97.33 "
"JGICL","JUBILEE GENERAL INSURANCE COMPANY LTD.","151,860.00"," 12,343,817.23 ","126,045.00"," 10,233,850.58 ","83.00 ","82.91 "
"JKSM","J.K. SPINNING MILLS LIMITED","9,179.00"," 1,906,451.32 ","8,700.00"," 1,815,713.28 ","94.78 ","95.24 "
"JLICL","JUBILEE LIFE INSURANCE COMPANY LIMITED","8,691.00"," 1,499,888.16 ","8,300.00"," 1,431,807.07 ","95.50 ","95.46 "
"JSBL","JS BANK LIMITED","363,429.00"," 8,153,830.22 ","288,769.00"," 6,495,167.76 ","79.46 ","79.66 "
"JSCL","JAHANGIR SIDDIQUI AND CO. LTD","353,855.00"," 10,936,092.82 ","290,745.00"," 8,996,664.70 ","82.17 ","82.27 "
"JSCLPSA","JAHANGIR SIDDIQUI & CO.LTD-PREF.SHARES","8,531.00"," 127,548.13 ","7,840.00"," 117,853.40 ","91.90 ","92.40 "
"JSGBETF","JS GLOBAL BANKING SECTOR ETF","51,000.00"," 2,169,180.00 ","38,000.00"," 1,630,435.00 ","74.51 ","75.16 "
"JSGCL","JS GLOBAL CAPITAL  LIMITED","587.00"," 81,297.27 ","587.00"," 81,297.27 ","100.00 ","100.00 "
"JSIL","JS INVESTMENTS LIMITED","43,648.00"," 1,388,746.86 ","43,182.00"," 1,374,462.16 ","98.93 ","98.97 "
"JSMFETF","JS MOMENTUM FACTOR EXCHANGE TRADED FUND","2,344,000.00"," 28,883,675.00 ","1,672,500.00"," 20,553,490.00 ","71.35 ","71.16 "
"JSML","JAUHARABAD SUGAR MILLS LIMITED","89,899.00"," 5,781,890.33 ","57,999.00"," 3,734,703.23 ","64.52 ","64.59 "
"JUBS","JUBILEE SPINNING & WEAVING MILLS LIMITED","14,862.00"," 389,542.09 ","12,862.00"," 337,316.33 ","86.54 ","86.59 "
"JVDC","JAVEDAN CORPORATION LIMITED","902,935.00"," 78,602,303.95 ","877,442.00"," 76,379,316.91 ","97.18 ","97.17 "
"KAPCO","KOT ADDU POWER COMPANY LIMITED","972,647.00"," 34,322,386.91 ","903,401.00"," 31,883,319.84 ","92.88 ","92.89 "
"KCL","KARAM CERAMICS LIMITED","141.00"," 25,411.65 ","135.00"," 24,354.66 ","95.74 ","95.84 "
"KEL","K-ELECTRIC LIMITED","140,348,620.00"," 996,006,939.29 ","73,107,813.00"," 530,013,536.69 ","52.09 ","53.21 "
"KHTC","KHYBER TOBACCO COMPANY LIMITED","121,111.00"," 54,708,719.44 ","81,561.00"," 36,883,938.72 ","67.34 ","67.42 "
"KHYT","KHYBER TEXTILE MILLS LIMITED","39.00"," 76,397.84 ","29.00"," 57,164.85 ","74.36 ","74.83 "
"KML","KOHINOOR MILLS LIMITED","93,778.00"," 12,522,214.94 ","52,220.00"," 6,957,728.57 ","55.68 ","55.56 "
"KOHC","KOHAT CEMENT COMPANY LIMITED","6,367,917.00"," 702,090,762.04 ","3,250,598.00"," 360,633,720.38 ","51.05 ","51.37 "
"KOHE","KOHINOOR ENERGY LIMITED","473,633.00"," 9,041,808.65 ","357,227.00"," 6,821,523.31 ","75.42 ","75.44 "
"KOHP","KOHINOOR POWER COMPANY LIMITED","737,714.00"," 23,730,878.33 ","175,025.00"," 5,777,344.53 ","23.73 ","24.35 "
"KOHTM","KOHAT TEXTILE MILLS LIMITED","63,101.00"," 3,839,798.33 ","62,751.00"," 3,818,711.33 ","99.45 ","99.45 "
"KOIL","KOHINOOR INDUSTRIES LIMITED","125,090.00"," 1,856,850.63 ","109,393.00"," 1,624,584.19 ","87.45 ","87.49 "
"KOSM","KOHINOOR SPINNING MILLS LIMITED","8,768,819.00"," 64,789,415.42 ","6,903,075.00"," 50,982,294.45 ","78.72 ","78.69 "
"KPUS","KHAIRPUR SUGAR MILLS LIMITED","103.00"," 13,410.88 ","100.00"," 13,010.00 ","97.09 ","97.01 "
"KSBP","KSB PUMPS COMPANY LIMITED","79,318.00"," 17,122,196.00 ","74,200.00"," 16,013,897.59 ","93.55 ","93.53 "
"786","786 INVESTMENT LIMITED","77,994.00"," 1,102,644.93 ","73,108.00"," 1,034,329.32 ","93.74 ","93.80 "
"AABS","AL-ABBAS SUGAR MILLS LIMITED","210.00"," 216,673.20 ","142.00"," 146,813.07 ","67.62 ","67.76 "
"AATM","ALI ASGHAR TEXTILE MILLS LIMITED","10,212.00"," 510,164.73 ","6,408.00"," 319,663.21 ","62.75 ","62.66 "
