"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"ACIETF","ALFALAH CONSUMER INDEX EXC. TRADED FUND","25,000.00"," 488,395.00 ","25,000.00"," 488,395.00 ","100.00 ","100.00 "
"ACPL","ATTOCK CEMENT PAKISTAN LIMITED","1,946,843.00"," 556,300,280.93 ","1,378,751.00"," 393,233,123.50 ","70.82 ","70.69 "
"ADAMS","ADAM SUGAR MILLS LIMITED","134.00"," 9,772.70 ","134.00"," 9,772.70 ","100.00 ","100.00 "
"786","786 INVESTMENT LIMITED","123,333.00"," 1,732,527.88 ","70,079.00"," 992,840.27 ","56.82 ","57.31 "
"AABS","AL-ABBAS SUGAR MILLS LIMITED","96.00"," 100,240.30 ","74.00"," 77,109.94 ","77.08 ","76.93 "
"ASLPS","AISHA STEEL MILLS LTD.-PREFERENCE SHARES","8,951.00"," 193,948.60 ","8,940.00"," 193,713.50 ","99.88 ","99.88 "
"ASTL","AMRELI STEELS LIMITED","29,640,828.00"," 823,363,731.34 ","21,074,023.00"," 587,182,809.43 ","71.10 ","71.32 "
"ASTM","ASIM TEXTILE MILLS LIMITED","8,192.00"," 227,177.21 ","6,891.00"," 190,099.81 ","84.12 ","83.68 "
"ATBA","ATLAS BATTERY LIMITED","19,122.00"," 4,924,441.42 ","17,402.00"," 4,480,167.31 ","91.01 ","90.98 "
"ATIL","ATLAS INSURANCE LIMITED","14,538.00"," 1,285,922.05 ","11,983.00"," 1,061,611.76 ","82.43 ","82.56 "
"ATLH","ATLAS HONDA LIMITED","19,710.00"," 26,679,744.61 ","17,280.00"," 23,403,685.04 ","87.67 ","87.72 "
"ATRL","ATTOCK REFINERY LIMITED","708,383.00"," 450,412,933.98 ","363,547.00"," 238,802,319.78 ","51.32 ","53.02 "
"AVN","AVANCEON LIMITED","1,053,335.00"," 52,758,244.22 ","788,883.00"," 40,575,126.73 ","74.89 ","76.91 "
"AWTX","ALLAWASAYA TEXTILE & FINISHING MILLS LTD","1.00"," 1,550.52 ","1.00"," 1,550.52 ","100.00 ","100.00 "
"BAFL","BANK ALFALAH LIMITED","2,377,021.00"," 236,295,001.97 ","1,568,396.00"," 156,885,783.94 ","65.98 ","66.39 "
"BAFS","BABA FARID SUGAR MILLS LIMITED","323.00"," 76,903.81 ","223.00"," 52,433.81 ","69.04 ","68.18 "
"BAHL","BANK AL HABIB LIMITED","202,568.00"," 38,053,786.97 ","144,927.00"," 27,678,168.15 ","71.54 ","72.73 "
"BAPL","BAWANY AIR PRODUCTS LIMITED","41,481.00"," 1,973,538.17 ","36,327.00"," 1,729,618.36 ","87.58 ","87.64 "
"BATA","BATA PAKISTAN LIMITED","400.00"," 604,310.07 ","388.00"," 586,146.39 ","97.00 ","96.99 "
"BBFL","BIG BIRD FOODS LIMITED","4,437,122.00"," 242,601,963.22 ","3,467,675.00"," 189,700,028.03 ","78.15 ","78.19 "
"BCL","BOLAN CASTINGS LIMITED","26,593.00"," 2,697,193.26 ","18,659.00"," 1,894,645.29 ","70.17 ","70.25 "
"BECO","BECO STEEL LIMITED","7,313,466.00"," 275,263,027.67 ","4,432,531.00"," 167,640,371.69 ","60.61 ","60.90 "
"BELA","BELA AUTOMOTIVES LIMITED","14.00"," 1,752.00 ","14.00"," 1,752.00 ","100.00 ","100.00 "
"BERG","BERGER PAINTS PAKISTAN LIMITED","306,072.00"," 36,624,785.68 ","255,551.00"," 30,595,833.73 ","83.49 ","83.54 "
"BFAGRO","BARKAT FRISIAN AGRO LIMITED","962,442.00"," 42,814,507.49 ","650,044.00"," 28,961,927.71 ","67.54 ","67.65 "
"BFBIO","BF BIOSCIENCES LIMITED","525,856.00"," 85,438,031.33 ","395,673.00"," 64,309,878.77 ","75.24 ","75.27 "
"BFMOD","B.F. MODARABA","29,878.00"," 484,348.08 ","29,878.00"," 484,348.08 ","100.00 ","100.00 "
"BGL","BALOCHISTAN GLASS LIMITED","7,423,342.00"," 125,896,159.71 ","4,500,195.00"," 76,735,787.63 ","60.62 ","60.95 "
"BHAT","BHANERO TEXTILE MILLS LIMITED","1,323.00"," 1,230,744.02 ","1,175.00"," 1,095,949.00 ","88.81 ","89.05 "
"BIFO","BIAFO INDUSTRIES LIMITED","145,469.00"," 26,538,370.75 ","115,198.00"," 21,038,028.28 ","79.19 ","79.27 "
"BILF","BILAL FIBRES LIMITED","115,926.00"," 4,614,241.18 ","92,027.00"," 3,663,441.56 ","79.38 ","79.39 "
"BIPL","BANKISLAMI PAKISTAN LIMITED","4,085,679.00"," 147,665,056.27 ","1,793,769.00"," 64,868,049.85 ","43.90 ","43.93 "
"BML","BANK MAKRAMAH LIMITED","9,065,779.00"," 70,824,929.14 ","6,661,008.00"," 52,066,461.73 ","73.47 ","73.51 "
"BNL","BUNNY`S LIMITED","2,059,054.00"," 252,257,304.03 ","1,693,946.00"," 207,380,370.24 ","82.27 ","82.21 "
"BNWM","BANNU WOOLLEN MILLS LIMITED","101,823.00"," 7,473,102.63 ","87,026.00"," 6,393,505.89 ","85.47 ","85.55 "
"BOK","THE BANK OF KHYBER","40,534.00"," 1,333,312.64 ","27,737.00"," 911,254.38 ","68.43 ","68.35 "
"BOP","THE BANK OF PUNJAB","122,994,302.00"," 3,148,818,963.51 ","47,072,347.00"," 1,253,446,766.38 ","38.27 ","39.81 "
"BPL","BURSHANE LPG (PAKISTAN) LIMITED","13,362.00"," 446,179.11 ","12,001.00"," 400,886.32 ","89.81 ","89.85 "
"BRRG","B.R.R. GUARDIAN LIMITED","60,189.00"," 1,988,427.64 ","42,929.00"," 1,421,318.71 ","71.32 ","71.48 "
"BTL","BLESSED TEXTILES LIMITED","25.00"," 8,126.04 ","25.00"," 8,126.04 ","100.00 ","100.00 "
"BUXL","BUXLY PAINTS LIMITED","32,324.00"," 5,554,702.88 ","19,092.00"," 3,308,504.43 ","59.06 ","59.56 "
"BWCL","BESTWAY CEMENT  LIMITED","81,430.00"," 53,332,339.67 ","49,888.00"," 32,790,376.62 ","61.26 ","61.48 "
"BWHL","BALUCHISTAN WHEELS LIMITED","221,586.00"," 42,803,609.53 ","177,938.00"," 34,403,498.30 ","80.30 ","80.38 "
"CASH","CALCORP LIMITED","14,202.00"," 685,433.95 ","12,987.00"," 629,224.10 ","91.44 ","91.80 "
"CCM","CRESCENT COTTON MILLS LIMITED","842.00"," 52,039.90 ","842.00"," 52,039.90 ","100.00 ","100.00 "
"CENI","CENTURY INSURANCE COMPANY LIMITED","426.00"," 21,048.51 ","426.00"," 21,048.51 ","100.00 ","100.00 "
"CEPB","CENTURY PAPER AND BOARD MILLS LIMITED","201,131.00"," 5,665,780.12 ","171,816.00"," 4,840,551.31 ","85.42 ","85.43 "
"CHAS","CHASHMA SUGAR MILLS LIMITED","225.00"," 15,299.75 ","225.00"," 15,299.75 ","100.00 ","100.00 "
"CHBL","CHENAB LIMITED","3,249,605.00"," 77,717,785.92 ","2,083,267.00"," 50,289,608.56 ","64.11 ","64.71 "
"ADMM","ARTISTIC DENIM MILLS LIMITED","8,686.00"," 528,621.84 ","7,593.00"," 462,871.45 ","87.42 ","87.56 "
"AGHA","AGHA STEEL INDUSTRIES LIMITED","9,890,741.00"," 100,348,119.07 ","8,017,798.00"," 81,335,386.34 ","81.06 ","81.05 "
"AGIC","ASKARI GENERAL INSURANCE COMPANY LTD","14,527.00"," 664,084.91 ","14,527.00"," 664,084.91 ","100.00 ","100.00 "
"AGIL","AGRIAUTO INDUSTRIES LIMITED","32,153.00"," 4,648,467.47 ","27,151.00"," 3,923,059.68 ","84.44 ","84.39 "
"AGL","AGRITECH LIMITED","398,038.00"," 28,283,544.37 ","354,764.00"," 25,206,670.18 ","89.13 ","89.12 "
"AGP","AGP LIMITED","186,988.00"," 37,039,323.96 ","178,595.00"," 35,383,783.86 ","95.51 ","95.53 "
"AGSML","ABDULLAH SHAH GHAZI SUGAR MILLS LIMITED","173,080.00"," 1,630,313.94 ","164,615.00"," 1,550,811.54 ","95.11 ","95.12 "
"AGTL","AL-GHAZI TRACTORS LIMITED","8,663.00"," 3,455,166.84 ","7,686.00"," 3,064,455.39 ","88.72 ","88.69 "
"AHCL","ARIF HABIB CORPORATION LIMITED","13,645,894.00"," 198,749,027.58 ","10,675,805.00"," 155,533,637.46 ","78.23 ","78.26 "
"AHL","ARIF HABIB LIMITED","129,303.00"," 16,225,161.58 ","89,316.00"," 11,216,517.07 ","69.07 ","69.13 "
"AHTM","AHMAD HASSAN TEXTILE MILLS LIMITED","36.00"," 2,809.59 ","30.00"," 2,354.77 ","83.33 ","83.81 "
"AICL","ADAMJEE INSURANCE COMPANY LIMITED","289,643.00"," 19,795,338.78 ","219,454.00"," 15,303,892.34 ","75.77 ","77.31 "
"AIRLINK","AIRLINK COMMUNICATION LIMITED","3,871,120.00"," 592,097,904.41 ","1,686,111.00"," 274,275,783.10 ","43.56 ","46.32 "
"AKBL","ASKARI BANK LIMITED","2,825,690.00"," 223,695,833.01 ","2,020,732.00"," 165,057,889.30 ","71.51 ","73.79 "
"AKDHL","AKD HOSPITALITY LIMITED","582.00"," 99,230.81 ","432.00"," 73,731.05 ","74.23 ","74.30 "
"AKDSL","AKD SECURITIES LIMITED","1,726,835.00"," 59,344,091.82 ","1,542,191.00"," 53,033,288.61 ","89.31 ","89.37 "
"AKGL","AL-KHAIR GADOON LIMITED","1,001.00"," 50,929.05 ","690.00"," 35,397.85 ","68.93 ","69.50 "
"ALAC","ASKARI LIFE ASSURANCE COMPANY LTD.","3,048,872.00"," 52,654,953.37 ","2,767,585.00"," 47,784,579.97 ","90.77 ","90.75 "
"ALIFE","ADAMJEE LIFE ASSURANCE COMPANY LIMITED","4,201.00"," 151,236.80 ","4,201.00"," 151,236.80 ","100.00 ","100.00 "
"ALNRS","AL-NOOR SUGAR MILLS LIMITED","352.00"," 36,737.51 ","352.00"," 36,737.51 ","100.00 ","100.00 "
"ALTN","ALTERN ENERGY LTD.","2,642,098.00"," 37,045,880.85 ","2,086,979.00"," 29,283,796.30 ","78.99 ","79.05 "
"AMBL","APNA MICROFINANCE BANK LIMITED","799.00"," 9,175.35 ","399.00"," 4,524.35 ","49.94 ","49.31 "
"AMTEX","AMTEX LIMITED","747,565.00"," 3,205,191.97 ","563,966.00"," 2,417,327.11 ","75.44 ","75.42 "
"ANL","AZGARD NINE LIMITED","566,481.00"," 7,108,976.60 ","498,270.00"," 6,256,887.46 ","87.96 ","88.01 "
"ANSM","ANSARI SUGAR MILLS LIMITED","26,059.00"," 437,899.37 ","25,697.00"," 431,762.02 ","98.61 ","98.60 "
"ANTM","AN TEXTILE MILLS LIMITED","1,573.00"," 46,323.18 ","1,526.00"," 44,959.04 ","97.01 ","97.06 "
"APL","ATTOCK PETROLEUM LIMITED","44,328.00"," 22,904,978.38 ","44,033.00"," 22,752,480.08 ","99.33 ","99.33 "
"ARCTM","ARCTIC TEXTILE MILLS LIMITED","5,091.00"," 184,079.25 ","3,991.00"," 143,892.30 ","78.39 ","78.17 "
"ARPAK","ARPAK INTERNATIONAL INVESTMENT LIMITED","3.00"," 204.14 ","2.00"," 143.64 ","66.67 ","70.36 "
"ARPL","ARCHROMA PAKISTAN LIMITED","1,331.00"," 617,482.58 ","1,196.00"," 554,956.99 ","89.86 ","89.87 "
"ARUJ","ARUJ INDUSTRIES LIMITED","341,910.00"," 4,544,076.83 ","239,684.00"," 3,194,188.59 ","70.10 ","70.29 "
"ASC","AL SHAHEER CORPORATION LIMITED","896,689.00"," 16,060,335.24 ","863,668.00"," 15,472,973.17 ","96.32 ","96.34 "
"ASHT","ASHFAQ TEXTILE MILLS LIMITED","6,478.00"," 166,490.16 ","5,009.00"," 129,324.19 ","77.32 ","77.68 "
"ASIC","ASIA INSURANCE COMPANY LIMITED","25.00"," 424.50 ","25.00"," 424.50 ","100.00 ","100.00 "
"ASL","AISHA STEEL MILLS LIMITED","3,244,910.00"," 49,112,844.91 ","2,717,899.00"," 41,137,271.67 ","83.76 ","83.76 "
"ASLCPS","AISHA STEEL LTD.-CONV.CUM. PREFR. SHARES","281.00"," 27,469.00 ","151.00"," 14,989.00 ","53.74 ","54.57 "
"CHCC","CHERAT CEMENT COMPANY LIMITED","148,935.00"," 52,798,641.98 ","97,756.00"," 34,697,007.42 ","65.64 ","65.72 "
"AATM","ALI ASGHAR TEXTILE MILLS LIMITED","17,795.00"," 909,721.51 ","17,733.00"," 906,498.88 ","99.65 ","99.65 "
"CJPL","CRESCENT JUTE PRODUCTS LIMITED","152,427.00"," 1,727,550.70 ","136,122.00"," 1,543,107.50 ","89.30 ","89.32 "
"CLCPS","CHENAB LTD-NON VOTING CUM. PREF. SHARES","538,779.00"," 2,291,436.54 ","397,208.00"," 1,690,593.68 ","73.72 ","73.78 "
"CLOV","CLOVER PAKISTAN LIMITED","127,722.00"," 5,704,502.21 ","102,331.00"," 4,573,276.42 ","80.12 ","80.17 "
"CLVL","CORDOBA LOGISTICS & VENTURES LIMITED","21,004.00"," 405,680.09 ","14,003.00"," 267,289.23 ","66.67 ","65.89 "
"CNERGY","CNERGYICO PK LIMITED","251,704,867.00"," 2,182,450,886.57 ","88,869,555.00"," 821,691,666.47 ","35.31 ","37.65 "
"COLG","COLGATE PALMOLIVE (PAKISTAN) LIMITED","28,180.00"," 36,350,765.32 ","21,559.00"," 27,825,850.41 ","76.50 ","76.55 "
"CPHL","CITI PHARMA LIMITED","21,044,062.00"," 2,111,951,687.96 ","9,510,479.00"," 966,004,828.97 ","45.19 ","45.74 "
"CPPL","CHERAT PACKAGING LIMITED","49,381.00"," 5,535,283.50 ","46,843.00"," 5,251,166.59 ","94.86 ","94.87 "
"CRTM","THE CRESCENT TEXTILE MILLS LIMITED","286,008.00"," 6,729,664.38 ","224,524.00"," 5,289,938.70 ","78.50 ","78.61 "
"CSAP","CRESCENT STEEL AND ALLIED PRODUCTS LTD.","208,824.00"," 22,463,526.03 ","163,844.00"," 17,626,158.18 ","78.46 ","78.47 "
"CSIL","CRESCENT STAR INSURANCE LIMITED","12,516,952.00"," 78,366,414.05 ","8,257,047.00"," 51,671,924.34 ","65.97 ","65.94 "
"CTM","COLONY TEXTILE MILLS LIMITED","165,933.00"," 1,137,134.11 ","148,126.00"," 1,013,528.01 ","89.27 ","89.13 "
"CWSM","CHAKWAL SPINNING MILLS LIMITED","635,859.00"," 20,987,999.98 ","466,028.00"," 15,375,123.33 ","73.29 ","73.26 "
"CYAN","CYAN LIMITED","133,275.00"," 5,322,630.08 ","121,876.00"," 4,868,150.87 ","91.45 ","91.46 "
"DAAG","DATA AGRO LIMITED","7,195.00"," 736,665.48 ","6,051.00"," 619,330.07 ","84.10 ","84.07 "
"DADX","DADEX ETERNIT LIMITED","1,995.00"," 129,086.92 ","990.00"," 64,637.30 ","49.62 ","50.07 "
"DBCI","DADABHOY CEMENT INDUSTRIES LIMITED","69,015.00"," 519,359.14 ","67,713.00"," 509,499.95 ","98.11 ","98.10 "
"DCL","DEWAN CEMENT LIMITED","8,779,394.00"," 133,058,687.42 ","5,008,349.00"," 75,957,382.16 ","57.05 ","57.09 "
"DCR","DOLMEN CITY REIT","318,998.00"," 10,242,325.45 ","305,533.00"," 9,810,412.40 ","95.78 ","95.78 "
"DEL","DAWOOD EQUITIES LIMITED","38,614.00"," 602,749.21 ","31,014.00"," 484,828.21 ","80.32 ","80.44 "
"DFML","DEWAN FAROOQUE MOTORS LIMITED","3,008,734.00"," 104,093,549.35 ","2,237,314.00"," 77,408,050.89 ","74.36 ","74.36 "
"DFSM","DEWAN FAROOQUE SPINNING MILLS LIMITED","339,423.00"," 2,155,039.40 ","331,326.00"," 2,103,661.61 ","97.61 ","97.62 "
"DGKC","D.G. KHAN CEMENT COMPANY LIMITED","1,947,885.00"," 486,387,440.64 ","947,005.00"," 240,484,982.42 ","48.62 ","49.44 "
"DHPL","DH PARTNERS LIMITED","53,692.00"," 2,352,705.91 ","51,957.00"," 2,276,592.72 ","96.77 ","96.76 "
"DIIL","DIAMOND INDUSTRIES LIMITED","720.00"," 35,677.40 ","609.00"," 30,212.44 ","84.58 ","84.68 "
"DINT","DIN TEXTILE MILLS LIMITED","9,673.00"," 788,621.35 ","8,384.00"," 685,194.43 ","86.67 ","86.89 "
