"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"NATF","NATIONAL FOODS LIMITED","323,714.00"," 110,525,494.43 ","277,868.00"," 94,848,153.09 ","85.84 ","85.82 "
"NBP","NATIONAL BANK OF PAKISTAN","15,719,006.00"," 2,700,882,454.23 ","7,583,528.00"," 1,354,505,818.42 ","48.24 ","50.15 "
"NBPGETF","NBP PAKISTAN GROWTH EXCHANGE TRADED FUND","20,500.00"," 562,245.00 ","16,500.00"," 452,515.00 ","80.49 ","80.48 "
"NCL","NISHAT (CHUNIAN) LIMITED","38,467.00"," 1,912,710.04 ","30,940.00"," 1,539,517.16 ","80.43 ","80.49 "
"NCML","NAZIR COTTON MILLS LIMITED","17,211.00"," 232,216.05 ","16,201.00"," 218,933.85 ","94.13 ","94.28 "
"NCPL","NISHAT CHUNIAN POWER LIMITED","387,087.00"," 10,885,943.33 ","378,767.00"," 10,653,139.33 ","97.85 ","97.86 "
"NESTLE","NESTLE PAKISTAN LIMITED","305.00"," 2,511,254.19 ","192.00"," 1,580,980.74 ","62.95 ","62.96 "
"NETSOL","NETSOL TECHNOLOGIES LIMITED","5,961,089.00"," 897,422,183.89 ","2,492,003.00"," 378,866,437.44 ","41.80 ","42.22 "
"NEXT","NEXT CAPITAL LIMITED","206,038.00"," 2,318,099.36 ","206,027.00"," 2,317,974.66 ","99.99 ","99.99 "
"NICL","NIMIR INDUSTRIAL CHEMICALS LIMITED","35,434.00"," 5,938,087.17 ","32,308.00"," 5,417,541.72 ","91.18 ","91.23 "
"NITGETF","NIT PAK. GATEWAY EXCHANGE TRADED FUND","5,500.00"," 180,345.00 ","5,000.00"," 164,040.00 ","90.91 ","90.96 "
"NML","NISHAT MILLS LIMITED","395,331.00"," 60,551,496.02 ","292,510.00"," 45,928,390.71 ","73.99 ","75.85 "
"NPL","NISHAT POWER LIMITED","1,078,361.00"," 45,254,528.29 ","1,039,426.00"," 43,623,177.77 ","96.39 ","96.40 "
"NRL","NATIONAL REFINERY LIMITED","1,809,209.00"," 647,200,006.15 ","799,557.00"," 284,868,172.42 ","44.19 ","44.02 "
"NRSL","NIMIR RESINS LIMITED","343,510.00"," 11,745,094.81 ","231,514.00"," 7,919,754.39 ","67.40 ","67.43 "
"OBOY","OILBOY ENERGY LIMITED","79,080.00"," 714,337.95 ","77,380.00"," 699,037.95 ","97.85 ","97.86 "
"OCTOPUS","OCTOPUS DIGITAL LIMITED","1,641,620.00"," 88,674,166.42 ","1,044,634.00"," 56,511,250.03 ","63.63 ","63.73 "
"OGDC","OIL & GAS DEVELOPMENT COMPANY LIMITED","4,014,745.00"," 1,045,312,562.76 ","2,272,039.00"," 610,153,986.02 ","56.59 ","58.37 "
"OLPL","OLP FINANCIAL SERVICES PAKISTAN LIMITED","12,170.00"," 588,724.84 ","12,165.00"," 588,472.34 ","99.96 ","99.96 "
"OLPM","OLP MODARABA","6,641.00"," 146,381.83 ","6,591.00"," 145,259.33 ","99.25 ","99.23 "
"OML","OLYMPIA MILLS LIMITED","11,759.00"," 446,902.00 ","11,759.00"," 446,902.00 ","100.00 ","100.00 "
"ORM","ORIENT RENTAL MODARABA","331,398.00"," 4,348,538.81 ","273,894.00"," 3,608,683.56 ","82.65 ","82.99 "
"OTSU","OTSUKA PAKISTAN LIMITED","240,173.00"," 74,537,822.57 ","202,446.00"," 62,889,729.83 ","84.29 ","84.37 "
"P01GIS031225","1 YEAR GIS-DISCOUNTED-MATURITY 03-12-25","260,002.00"," 1,271,551,288.00 ","260,002.00"," 1,271,551,288.00 ","100.00 ","100.00 "
"P01GIS061125","1 YEAR GIS-DISCOUNTED-MATURITY 06-11-25","40,001.00"," 197,085,131.50 ","40,001.00"," 197,085,131.50 ","100.00 ","100.00 "
"P01GIS080126","1 YEAR GIS-DISCOUNTED-MAT DATE 08-01-26","1.00"," 4,848.50 ","1.00"," 4,848.50 ","100.00 ","100.00 "
"P01GIS200826","1 YEAR GIS-DISCOUNTED-MATURITY 20AUG26","1.00"," 4,570.00 ","1.00"," 4,570.00 ","100.00 ","100.00 "
"P01GIS201025","1 YEAR GIS-DISCOUNTED-MATURITY 20-10-25","1.00"," 4,952.00 ","1.00"," 4,952.00 ","100.00 ","100.00 "
"P01GIS290526","1 YEAR GIS-DISCOUNTED-MATURITY 29MAY26","1.00"," 4,675.50 ","1.00"," 4,675.50 ","100.00 ","100.00 "
"P03VRR240127","3 YEAR GIS-VRR-MATURITY DATE 24-JAN-27","2,300.00"," 11,785,453.23 ","2,300.00"," 11,785,453.23 ","100.00 ","100.00 "
"P05FRR240129","5 YEAR GIS-FRR-MATURITY DATE 24-JAN-29","22,000.00"," 127,790,665.20 ","22,000.00"," 127,790,665.20 ","100.00 ","100.00 "
"PABC","PAKISTAN ALUMINIUM BEVERAGE CANS LTD","40,667.00"," 6,184,414.00 ","37,914.00"," 5,765,680.84 ","93.23 ","93.23 "
"PACE","PACE (PAKISTAN) LIMITED","29,119,287.00"," 216,510,766.48 ","16,581,273.00"," 123,486,656.22 ","56.94 ","57.03 "
"PAEL","PAK ELEKTRON LIMITED","17,485,222.00"," 928,827,425.34 ","8,564,954.00"," 471,873,026.08 ","48.98 ","50.80 "
"PAKD","PAK DATACOM LIMITED","14,538.00"," 2,913,126.64 ","12,814.00"," 2,569,576.88 ","88.14 ","88.21 "
"PAKL","PAK LEATHER CRAFTS LIMITED","3,098.00"," 108,805.75 ","2,098.00"," 73,305.75 ","67.72 ","67.37 "
"PAKOXY","PAKISTAN OXYGEN LIMITED","1,444.00"," 350,140.37 ","1,354.00"," 328,530.47 ","93.77 ","93.83 "
"PAKRI","PAKISTAN REINSURANCE COMPANY LIMITED","427,140.00"," 6,056,764.90 ","405,513.00"," 5,748,981.49 ","94.94 ","94.92 "
"PAKT","PAKISTAN TOBACCO COMPANY LIMITED","64,110.00"," 96,835,052.13 ","40,099.00"," 60,720,671.38 ","62.55 ","62.71 "
"PASL","PERVEZ AHMED CONSULTANCY SERVICES LTD","47,222,571.00"," 146,975,526.78 ","24,804,661.00"," 77,547,575.24 ","52.53 ","52.76 "
"PASM","PARAMOUNT SPINNING MILLS LIMITED","11,420.00"," 85,838.65 ","10,617.00"," 79,591.93 ","92.97 ","92.72 "
"PCAL","PAKISTAN CABLES LIMITED","4,971.00"," 873,621.50 ","4,871.00"," 856,481.50 ","97.99 ","98.04 "
"PECO","PAKISTAN ENGINEERING COMPANY LIMITED","979.00"," 565,927.27 ","819.00"," 474,845.31 ","83.66 ","83.91 "
"PGLC","PAK GULF LEASING COMPANY LIMITED","37,848.00"," 688,195.40 ","33,276.00"," 602,433.29 ","87.92 ","87.54 "
"PIAHCLA","PIA HOLDING COMPANY LIMITED-CLASS A","991,416.00"," 19,626,776.43 ","798,773.00"," 15,805,466.15 ","80.57 ","80.53 "
"PIAHCLB","PIA HOLDING COMPANY LIMITED-CLASS B","28.00"," 704,681.43 ","20.00"," 502,250.02 ","71.43 ","71.27 "
"PIBTL","PAKISTAN INTERNATIONAL BULK TERMINAL LTD","22,052,873.00"," 278,923,314.07 ","15,609,183.00"," 197,329,169.76 ","70.78 ","70.75 "
"PICT","PAKISTAN INTL CONTAINER TERMINAL LTD.","63,897.00"," 2,665,677.94 ","34,282.00"," 1,433,103.84 ","53.65 ","53.76 "
"PIL","PICIC INSURANCE LIMITED","308,898.00"," 1,627,730.17 ","296,583.00"," 1,563,363.88 ","96.01 ","96.05 "
"PIM","POPULAR ISLAMIC MODARABA","3,635.00"," 92,798.13 ","3,218.00"," 82,672.43 ","88.53 ","89.09 "
"PINL","PREMIER INSURANCE LIMITED","8,952.00"," 73,274.16 ","7,870.00"," 64,510.76 ","87.91 ","88.04 "
