"Symbol","Name","Trade Volume","Trade Value","UIN Settlement Volume ","UIN Settlement Value ","UIN Percentage Volume","UIN Percentage Value "
"BOP","THE BANK OF PUNJAB","71,232,842.00"," 1,257,110,207.59 ","26,561,678.00"," 487,308,909.52 ","37.29 ","38.76 "
"BPL","BURSHANE LPG (PAKISTAN) LIMITED","1,566.00"," 54,016.51 ","1,541.00"," 53,165.76 ","98.40 ","98.43 "
"BRRG","B.R.R. GUARDIAN LIMITED","3,291.00"," 98,901.14 ","3,085.00"," 92,620.42 ","93.74 ","93.65 "
"BTL","BLESSED TEXTILES LIMITED","579.00"," 181,005.62 ","474.00"," 147,435.16 ","81.87 ","81.45 "
"BUXL","BUXLY PAINTS LIMITED","798.00"," 138,817.21 ","693.00"," 120,843.31 ","86.84 ","87.05 "
"BWCL","BESTWAY CEMENT  LIMITED","9,828.00"," 5,581,638.38 ","8,527.00"," 4,844,251.82 ","86.76 ","86.79 "
"BWHL","BALUCHISTAN WHEELS LIMITED","50,929.00"," 9,707,738.04 ","37,077.00"," 7,075,416.20 ","72.80 ","72.88 "
"CASH","CALCORP LIMITED","4,539.00"," 192,967.55 ","2,599.00"," 113,563.72 ","57.26 ","58.85 "
"CCM","CRESCENT COTTON MILLS LIMITED","3,502.00"," 176,748.21 ","2,998.00"," 152,546.00 ","85.61 ","86.31 "
"CENI","CENTURY INSURANCE COMPANY LIMITED","2,260.00"," 109,998.94 ","1,735.00"," 84,798.94 ","76.77 ","77.09 "
"CEPB","CENTURY PAPER AND BOARD MILLS LIMITED","321,792.00"," 9,177,234.25 ","214,451.00"," 6,117,804.76 ","66.64 ","66.66 "
"CFL","CRESCENT FIBRES LIMITED","9,743.00"," 821,844.87 ","5,106.00"," 440,896.75 ","52.41 ","53.65 "
"CHAS","CHASHMA SUGAR MILLS LIMITED","3,810.00"," 258,146.67 ","2,810.00"," 191,196.67 ","73.75 ","74.07 "
"CHBL","CHENAB LIMITED","104,591.00"," 2,640,848.61 ","85,271.00"," 2,156,697.05 ","81.53 ","81.67 "
"CHCC","CHERAT CEMENT COMPANY LIMITED","386,213.00"," 134,581,413.18 ","284,017.00"," 99,120,169.66 ","73.54 ","73.65 "
"CJPL","CRESCENT JUTE PRODUCTS LIMITED","1,641,407.00"," 18,938,441.25 ","1,060,877.00"," 12,230,003.71 ","64.63 ","64.58 "
"CLCPS","CHENAB LTD-NON VOTING CUM. PREF. SHARES","250,640.00"," 974,397.25 ","239,443.00"," 931,047.09 ","95.53 ","95.55 "
"CLOV","CLOVER PAKISTAN LIMITED","579,642.00"," 25,415,774.02 ","223,633.00"," 9,812,776.06 ","38.58 ","38.61 "
"CLVL","CORDOBA LOGISTICS & VENTURES LIMITED","228,308.00"," 4,293,715.07 ","212,504.00"," 3,995,914.27 ","93.08 ","93.06 "
"CNERGY","CNERGYICO PK LIMITED","3,491,648.00"," 23,048,597.18 ","2,414,786.00"," 16,416,930.24 ","69.16 ","71.23 "
"COLG","COLGATE PALMOLIVE (PAKISTAN) LIMITED","11,313.00"," 14,700,802.11 ","10,937.00"," 14,212,273.69 ","96.68 ","96.68 "
"CPHL","CITI PHARMA LIMITED","7,151,674.00"," 693,446,997.22 ","3,837,364.00"," 373,359,715.44 ","53.66 ","53.84 "
"CPPL","CHERAT PACKAGING LIMITED","157,338.00"," 18,490,449.50 ","91,887.00"," 10,816,094.06 ","58.40 ","58.50 "
"CRTM","THE CRESCENT TEXTILE MILLS LIMITED","339,777.00"," 7,630,875.63 ","282,275.00"," 6,363,144.00 ","83.08 ","83.39 "
"CSAP","CRESCENT STEEL AND ALLIED PRODUCTS LTD.","249,912.00"," 26,363,125.32 ","126,885.00"," 13,418,004.15 ","50.77 ","50.90 "
"CSIL","CRESCENT STAR INSURANCE LIMITED","681,494.00"," 2,829,427.85 ","619,379.00"," 2,572,981.13 ","90.89 ","90.94 "
"CTM","COLONY TEXTILE MILLS LIMITED","3,629,251.00"," 26,021,439.66 ","2,681,210.00"," 19,282,926.43 ","73.88 ","74.10 "
"CWSM","CHAKWAL SPINNING MILLS LIMITED","182,100.00"," 6,146,862.69 ","164,783.00"," 5,561,815.79 ","90.49 ","90.48 "
"CYAN","CYAN LIMITED","176,370.00"," 6,608,059.73 ","159,220.00"," 5,969,222.23 ","90.28 ","90.33 "
"DAAG","DATA AGRO LIMITED","4,593.00"," 480,795.05 ","4,490.00"," 469,826.81 ","97.76 ","97.72 "
"DADX","DADEX ETERNIT LIMITED","9,869.00"," 621,037.88 ","8,421.00"," 530,437.73 ","85.33 ","85.41 "
"DBCI","DADABHOY CEMENT INDUSTRIES LIMITED","488,408.00"," 3,644,598.68 ","251,341.00"," 1,903,504.67 ","51.46 ","52.23 "
"DCL","DEWAN CEMENT LIMITED","7,086,754.00"," 99,872,354.36 ","5,156,473.00"," 72,762,384.49 ","72.76 ","72.86 "
"DCR","DOLMEN CITY REIT","644,427.00"," 20,380,070.06 ","614,406.00"," 19,430,018.27 ","95.34 ","95.34 "
"DEL","DAWOOD EQUITIES LIMITED","4,255.00"," 70,704.38 ","4,125.00"," 68,665.40 ","96.94 ","97.12 "
"DFML","DEWAN FAROOQUE MOTORS LIMITED","1,502,231.00"," 53,219,522.07 ","987,187.00"," 34,997,266.77 ","65.71 ","65.76 "
"DFSM","DEWAN FAROOQUE SPINNING MILLS LIMITED","699,097.00"," 4,232,299.84 ","532,773.00"," 3,230,494.83 ","76.21 ","76.33 "
"DGKC","D.G. KHAN CEMENT COMPANY LIMITED","4,107,027.00"," 928,095,841.10 ","1,431,291.00"," 337,804,795.83 ","34.85 ","36.40 "
"DHPL","DH PARTNERS LIMITED","369,111.00"," 15,942,128.62 ","272,249.00"," 11,759,404.66 ","73.76 ","73.76 "
"DIIL","DIAMOND INDUSTRIES LIMITED","5,963.00"," 281,511.23 ","5,963.00"," 281,511.23 ","100.00 ","100.00 "
"DINT","DIN TEXTILE MILLS LIMITED","1,799.00"," 130,253.59 ","1,603.00"," 115,363.40 ","89.11 ","88.57 "
"DLL","DAWOOD LAWRENCEPUR LIMITED","2,303.00"," 709,838.08 ","841.00"," 263,652.74 ","36.52 ","37.14 "
"DMC","D.M. CORPORATION LIMITED","8.00"," 467.76 ","8.00"," 467.76 ","100.00 ","100.00 "
"DMTM","DEWAN MUSHTAQ TEXTILE MILLS LIMITED","1,719.00"," 26,920.76 ","1,519.00"," 23,765.76 ","88.37 ","88.28 "
"DNCC","DANDOT CEMENT COMPANY LIMITED","3,128.00"," 50,647.58 ","3,127.00"," 50,631.96 ","99.97 ","99.97 "
"DOL","DESCON OXYCHEM LIMITED","452,990.00"," 17,678,315.97 ","363,826.00"," 14,203,625.47 ","80.32 ","80.34 "
"DSIL","D. S. INDUSTRIES LIMITED","34,827,815.00"," 290,464,819.33 ","14,829,693.00"," 124,915,498.55 ","42.58 ","43.01 "
"DSL","DOST STEELS LIMITED","8,655,475.00"," 85,608,064.22 ","8,440,609.00"," 83,502,399.04 ","97.52 ","97.54 "
"DWAE","DEWAN AUTOMOTIVE ENGINEERING LIMITED","19,525.00"," 556,124.59 ","7,954.00"," 226,975.52 ","40.74 ","40.81 "
"DWSM","DEWAN SUGAR MILLS LIMITED","67,744.00"," 404,784.03 ","42,842.00"," 261,690.50 ","63.24 ","64.65 "
"DWTM","DEWAN TEXTILE MILLS LIMITED","34,992.00"," 244,458.45 ","32,455.00"," 226,549.54 ","92.75 ","92.67 "
"DYNO","DYNEA PAKISTAN LIMITED","46,993.00"," 14,861,050.74 ","37,291.00"," 11,790,145.99 ","79.35 ","79.34 "
"ECOP","ECOPACK LIMITED","609,521.00"," 41,138,239.80 ","526,043.00"," 35,521,114.47 ","86.30 ","86.35 "
"EFERT","ENGRO FERTILIZERS LIMITED","775,830.00"," 166,526,429.50 ","617,927.00"," 133,957,527.24 ","79.65 ","80.44 "
"EFUG","EFU GENERAL INSURANCE LIMITED","2,309.00"," 283,892.82 ","1,659.00"," 204,281.31 ","71.85 ","71.96 "
"EFUL","EFU LIFE ASSURANCE LIMITED","3,279.00"," 510,901.81 ","3,134.00"," 488,255.09 ","95.58 ","95.57 "
"ELCM","ELAHI COTTON MILLS LIMITED","149.00"," 30,219.13 ","129.00"," 25,983.14 ","86.58 ","85.98 "
"ELSM","ELLCOT SPINNING MILLS LIMITED","20.00"," 2,320.00 ","20.00"," 2,320.00 ","100.00 ","100.00 "
"EMCO","EMCO INDUSTRIES LIMITED","5,926.00"," 373,273.67 ","5,581.00"," 351,668.62 ","94.18 ","94.21 "
"ENGROH","ENGRO HOLDINGS LIMITED","1,023,641.00"," 238,863,301.21 ","709,328.00"," 165,732,929.52 ","69.29 ","69.38 "
"EPCL","ENGRO POLYMER & CHEMICALS LIMITED","667,725.00"," 20,833,861.54 ","568,172.00"," 17,734,614.68 ","85.09 ","85.12 "
"EPCLPS","ENGRO POLYMER & CHEMICALS LTD - PREF.SH.","122,610.00"," 1,498,128.50 ","122,610.00"," 1,498,128.50 ","100.00 ","100.00 "
"EPQL","ENGRO POWERGEN QADIRPUR LIMITED","140,080.00"," 4,129,045.61 ","139,605.00"," 4,115,085.36 ","99.66 ","99.66 "
"ESBL","ESCORTS INVESTMENT BANK LIMITED","15,807.00"," 98,755.99 ","15,586.00"," 97,376.34 ","98.60 ","98.60 "
"EWIC","EAST WEST INSURANCE COMPANY LIMITED","272.00"," 17,141.44 ","267.00"," 16,826.34 ","98.16 ","98.16 "
"EXIDE","EXIDE PAKISTAN LIMITED","15,237.00"," 10,680,567.30 ","13,890.00"," 9,738,732.38 ","91.16 ","91.18 "
"FABL","FAYSAL BANK LIMITED","1,008,836.00"," 76,782,157.94 ","747,974.00"," 57,676,580.44 ","74.14 ","75.12 "
"FANM","FIRST AL-NOOR MODARABA","146,988.00"," 793,075.84 ","142,155.00"," 767,024.40 ","96.71 ","96.72 "
"FASM","FAISAL SPINNING MILLS LIMITED","40.00"," 14,388.51 ","40.00"," 14,388.51 ","100.00 ","100.00 "
"FATIMA","FATIMA FERTILIZER COMPANY LIMITED","230,284.00"," 27,388,415.51 ","190,399.00"," 23,053,770.12 ","82.68 ","84.17 "
"FCCL","FAUJI CEMENT COMPANY LIMITED","11,016,228.00"," 617,079,505.22 ","3,911,319.00"," 227,071,789.97 ","35.51 ","36.80 "
"FCEL","FIRST CAPITAL EQUITIES LIMITED","257,183.00"," 1,551,656.93 ","222,202.00"," 1,339,863.60 ","86.40 ","86.35 "
"FCEPL","FRIESLANDCAMPINA ENGRO PAKISTAN LIMITED","596,025.00"," 50,754,460.34 ","226,381.00"," 19,348,366.71 ","37.98 ","38.12 "
"FCIBL","FIRST CREDIT AND INVESTMENT BANK LIMITED","305.00"," 4,032.25 ","305.00"," 4,032.25 ","100.00 ","100.00 "
"FCL","FAST CABLES LIMITED","4,337,080.00"," 105,094,118.70 ","2,706,348.00"," 65,611,660.89 ","62.40 ","62.43 "
"FCSC","FIRST CAPITAL SECURITIES CORPORATION LTD","6,579,022.00"," 21,350,572.56 ","4,186,996.00"," 13,609,581.07 ","63.64 ","63.74 "
"FDPL","FIRST DAWOOD PROPERTIES LIMITED","1,006,435.00"," 6,647,356.32 ","833,856.00"," 5,506,887.49 ","82.85 ","82.84 "
"FECM","FIRST ELITE CAPITAL MODARABA","73,568.00"," 2,282,886.43 ","56,914.00"," 1,774,787.23 ","77.36 ","77.74 "
"FECTC","FECTO CEMENT LIMITED","47,638.00"," 4,513,395.35 ","42,426.00"," 4,017,157.60 ","89.06 ","89.01 "
"FEM","FIRST EQUITY MODARABA","41,548.00"," 261,840.97 ","41,546.00"," 261,827.80 ","100.00 ","99.99 "
"FEROZ","FEROZSONS LABORATORIES LIMITED","15,604.00"," 6,433,147.00 ","12,124.00"," 5,000,729.39 ","77.70 ","77.73 "
"FFC","FAUJI FERTILIZER COMPANY LIMITED","977,682.00"," 436,828,954.00 ","632,698.00"," 287,919,885.62 ","64.71 ","65.91 "
"FFL","FAUJI FOODS LIMITED","30,859,725.00"," 585,191,834.64 ","17,367,388.00"," 334,219,798.41 ","56.28 ","57.11 "
"FFLM","FIRST FIDELITY LEASING MODARABA","11,021.00"," 83,417.13 ","10,507.00"," 79,566.77 ","95.34 ","95.38 "
"FHAM","FIRST HABIB MODARABA","125,730.00"," 4,110,777.65 ","90,810.00"," 2,965,323.48 ","72.23 ","72.14 "
"FIBLM","FIRST IBL MODARABA","14,193.00"," 121,509.78 ","14,190.00"," 121,483.63 ","99.98 ","99.98 "
"FIL","FATEH INDUSTRIES LIMITED","50.00"," 9,007.00 ","50.00"," 9,007.00 ","100.00 ","100.00 "
"FIMM","FIRST IMROOZ MODARABA","51.00"," 13,198.00 ","46.00"," 12,063.00 ","90.20 ","91.40 "
"FLYNG","FLYING CEMENT COMPANY LIMITED","95,735.00"," 4,831,875.41 ","91,995.00"," 4,649,376.92 ","96.09 ","96.22 "
"FML","FEROZE1888 MILLS LIMITED","20,984.00"," 1,597,728.30 ","13,156.00"," 1,020,137.46 ","62.70 ","63.85 "
